timestamp_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
1887985,0.002,-0.000,-0.000,-0.20,0.06,-0.41
1888185,-0.001,-0.004,0.000,-0.34,0.10,-0.48
1888385,0.001,-0.002,-0.000,-0.37,0.12,-0.29
1888585,-0.000,0.000,-0.001,-0.33,0.09,-0.36
1888785,-0.000,0.001,-0.001,-0.37,0.07,-0.29
1888985,0.001,0.001,-0.001,-0.48,0.04,-0.46
1889185,-0.001,-0.000,-0.003,-0.25,0.10,-0.25
1889385,-0.001,-0.002,0.000,-0.40,0.06,-0.35
1889585,0.001,0.000,-0.001,-0.24,0.11,-0.39
1889785,-0.000,0.002,0.000,-0.52,0.06,-0.32
1889985,0.002,-0.011,-0.002,-1.02,0.06,-0.62
1890185,0.001,-0.001,-0.002,0.06,0.09,-0.11
1890385,-0.000,0.005,0.003,-0.53,0.07,-0.32
1890585,-0.002,-0.003,0.002,-0.03,0.15,-0.45
1890785,-0.001,0.000,0.001,-0.47,0.03,-0.27
1890985,0.000,0.003,0.001,-0.56,0.04,-0.51
1891185,0.001,0.002,-0.002,-0.36,0.07,-0.27
1891385,0.001,0.002,-0.001,-0.20,0.12,-0.30
1891585,-0.000,0.002,-0.004,-0.33,0.08,-0.42
1891785,-0.000,0.000,-0.001,-0.08,0.09,-0.31
1891985,-0.000,-0.001,0.001,-0.58,0.09,-0.39
1892185,-0.001,0.001,0.002,-0.31,0.13,-0.33
1892385,0.000,0.001,0.001,-0.38,0.07,-0.35
1892585,0.000,-0.000,0.001,-0.37,0.07,-0.35
1892785,-0.001,0.000,0.000,-0.40,0.10,-0.37
1892985,0.001,0.001,-0.000,-0.25,0.10,-0.36
1893185,-0.001,0.002,-0.000,-0.40,0.05,-0.34
1893385,-0.002,-0.001,0.000,-0.27,0.06,-0.36
1893585,0.000,-0.001,-0.000,-0.41,0.09,-0.40
1893785,0.000,0.001,0.001,-0.29,0.05,-0.31
1893985,0.001,-0.001,0.000,-0.33,0.08,-0.39
1894185,-0.002,-0.000,-0.000,-0.32,0.07,-0.38
1894385,-0.002,-0.001,0.001,-0.37,0.06,-0.32
1894585,0.001,-0.002,-0.000,-0.31,0.01,-0.34
1894785,-0.000,0.000,-0.000,-0.30,0.06,-0.33
1894985,0.001,0.002,0.001,-0.40,0.09,-0.36
1895185,-0.000,0.001,0.000,-0.29,0.05,-0.35
