timestamp_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
1880555,-0.015,0.006,0.005,-1.88,-1.82,-1.84
1880755,0.007,0.001,-0.003,-0.14,2.07,-0.09
1880955,-0.009,0.000,0.009,0.26,1.29,0.82
1881155,0.009,0.019,0.025,-4.14,-3.39,6.02
1881355,0.237,-0.079,-0.010,-8.78,-28.30,54.53
1881555,0.199,-0.120,-0.012,-4.90,-9.65,74.56
1881755,0.313,-0.272,-0.111,-5.37,-64.81,70.98
1881955,0.384,-0.389,-0.215,10.12,-9.65,71.06
1882155,0.161,-0.492,-0.213,4.94,-55.71,48.12
1882355,0.210,-0.366,-0.570,-7.99,-102.87,-4.56
1882555,0.139,-0.488,-0.627,54.93,-21.62,47.18
1882755,-0.006,-0.631,-0.422,129.47,44.20,74.85
1882955,-0.147,-0.687,-0.008,137.94,-8.84,49.98
1883155,-0.219,-0.642,0.460,45.14,10.94,11.78
1883355,-0.200,-0.517,0.240,-79.36,18.03,-21.40
1883555,-0.047,-0.356,-0.252,-112.85,-20.52,-38.81
1883755,-0.150,-0.121,-0.297,-95.27,-50.15,-74.98
1883955,-0.124,0.344,-0.418,-90.88,-125.85,-109.93
1884155,0.092,0.491,-0.399,-61.20,-14.17,-46.02
1884355,0.158,0.381,-0.424,49.68,-19.43,47.34
1884555,0.055,0.029,-0.370,182.02,54.74,118.47
1884755,-0.294,-0.337,0.261,174.15,50.36,86.58
1884955,-0.103,-0.534,0.634,77.74,-90.29,-0.18
1885155,-0.106,-0.366,0.507,-53.39,33.09,-0.73
1885355,-0.119,-0.326,0.129,-134.75,-14.00,-66.06
1885555,-0.079,0.226,-0.212,-135.76,-73.42,-89.79
1885755,0.031,0.696,-0.441,-123.65,-60.72,-97.40
1885955,0.327,0.396,-0.538,18.00,-9.49,11.69
1886155,0.152,0.192,-0.447,203.70,33.32,131.68
1886355,-0.218,-0.255,0.290,190.83,38.58,88.83
1886555,0.059,-0.501,0.814,93.62,-105.75,-3.21
1886755,-0.072,-0.375,0.327,-137.28,64.14,-34.19
1886955,-0.009,-0.153,-0.109,-159.75,-18.50,-80.14
1887155,-0.048,0.373,-0.328,-168.17,-25.18,-123.35
1887355,0.281,0.571,-0.480,-70.17,-3.35,-33.99
1887555,0.055,0.474,-0.344,100.41,-6.45,80.06
1887755,-0.030,0.091,-0.260,185.05,24.71,99.85
1887955,-0.140,-0.417,0.333,152.55,121.38,64.07
1888155,-0.164,-0.595,0.573,81.21,-21.04,31.52
1888355,-0.119,-0.483,0.506,-25.12,20.01,-7.76
1888555,-0.162,-0.296,0.236,-127.25,-15.12,-75.11
1888755,0.099,0.111,-0.390,-148.13,-34.05,-94.86
1888955,0.158,0.502,-0.419,-153.37,-20.17,-103.28
1889155,0.154,0.861,-0.169,-149.34,28.82,-49.03
1889355,0.233,0.580,-0.149,44.39,-27.50,38.64
1889555,0.178,0.352,-0.297,180.47,-9.20,117.73
1889755,-0.096,-0.224,0.017,186.53,12.41,99.60
1889955,-0.228,-0.584,0.408,154.39,-38.64,57.77
1890155,-0.412,-0.560,0.779,28.01,10.55,-3.08
1890355,-0.252,-0.507,0.437,-85.08,26.25,-28.63
1890555,-0.031,-0.193,-0.080,-138.96,-48.53,-72.67
1890755,0.303,0.169,-0.393,-159.40,-22.27,-72.33
1890955,0.410,0.576,-0.396,-162.48,19.40,-66.54
1891155,0.057,0.732,-0.047,-75.62,73.94,-69.88
1891355,0.194,0.494,-0.216,70.84,-40.88,63.96
1891555,0.250,0.180,-0.323,184.31,-15.59,146.56
1891755,-0.021,-0.348,-0.002,170.15,45.51,137.22
1891955,-0.300,-0.691,0.462,104.15,-23.74,52.09
1892155,-0.245,-0.570,0.518,-52.61,51.67,-22.44
1892355,-0.038,-0.348,0.023,-144.42,3.74,-79.69
1892555,-0.053,0.074,-0.165,-154.67,5.74,-127.39
1892755,0.084,0.741,-0.217,-158.42,32.67,-194.64
1892955,0.216,0.666,-0.145,-52.13,-3.93,-44.58
1893155,0.139,0.548,-0.261,134.05,-23.37,110.17
1893355,0.067,0.010,-0.162,183.29,6.24,125.15
1893555,-0.103,-0.521,0.050,163.21,1.61,90.98
1893755,-0.191,-0.631,0.468,132.78,-43.49,50.14
1893955,-0.224,-0.574,0.628,-2.79,-3.75,-19.05
1894155,-0.284,-0.477,0.287,-110.85,48.22,-61.01
1894355,-0.149,-0.160,-0.144,-149.25,-4.30,-92.77
1894555,0.220,0.339,-0.381,-162.94,10.70,-104.50
1894755,0.288,0.923,-0.393,-157.62,15.03,-135.95
1894955,0.331,0.531,-0.263,9.06,-3.09,14.20
1895155,0.182,0.452,-0.326,160.72,-19.94,144.75
1895355,-0.012,-0.149,-0.138,178.90,36.22,121.63
1895555,-0.218,-0.535,0.324,166.46,2.45,93.69
1895755,-0.391,-0.728,0.658,82.29,-32.97,55.29
1895955,-0.222,-0.532,0.502,-84.30,104.14,-25.33
1896155,-0.024,-0.282,-0.055,-135.75,-18.35,-86.61
1896355,0.165,0.179,-0.419,-168.69,-39.48,-94.42
1896555,0.203,0.637,-0.328,-179.99,61.42,-71.38
1896755,0.090,0.758,-0.183,-107.64,16.66,-81.26
1896955,0.079,0.592,-0.229,105.76,-20.60,81.34
1897155,0.191,0.207,-0.415,227.02,21.19,130.42
1897355,-0.158,-0.315,0.043,212.47,-23.63,131.11
1897555,-0.322,-0.629,0.771,159.91,-50.07,53.40
1897755,-0.253,-0.646,0.669,-77.68,49.82,-23.13
1897955,-0.138,-0.330,0.112,-185.14,-29.50,-73.44
1898155,0.102,0.140,-0.439,-180.63,-23.61,-77.66
1898355,0.299,0.606,-0.421,-166.50,36.61,-69.24
1898555,0.093,0.679,-0.136,-105.28,23.14,-81.61
1898755,0.168,0.520,-0.151,73.87,1.25,60.80
1898955,0.212,0.280,-0.407,215.24,-21.50,147.43
1899155,-0.094,-0.336,0.057,202.66,-7.95,122.52
1899355,-0.262,-0.602,0.541,142.25,-54.94,45.64
1899555,-0.153,-0.687,0.732,5.02,15.22,-3.10
1899755,-0.313,-0.510,0.367,-130.93,36.71,-38.68
1899955,-0.188,-0.174,-0.177,-151.95,-61.61,-61.46
1900155,-0.209,0.261,-0.461,-159.02,-94.42,-76.47
1900355,-0.030,0.930,-0.326,-167.47,19.83,-129.57
1900555,0.456,0.501,-0.348,-32.13,-45.91,-15.64
1900755,0.231,0.445,-0.334,173.54,-64.23,104.01
1900955,0.156,-0.096,-0.278,217.74,-16.03,104.25
1901155,-0.167,-0.567,0.269,178.93,23.48,49.99
1901355,-0.147,-0.737,0.679,93.32,-75.81,15.12
1901555,-0.075,-0.557,0.605,-43.91,-17.84,-9.82
1901755,-0.162,-0.354,0.161,-159.49,12.96,-59.79
1901955,0.084,0.033,-0.371,-173.37,32.33,-99.79
1902155,0.171,0.549,-0.295,-141.56,50.42,-135.53
1902355,0.204,0.703,-0.257,-82.34,-4.49,-63.99
1902555,0.099,0.557,-0.260,91.78,-17.99,71.06
1902755,0.193,0.151,-0.373,197.05,-19.42,121.22
1902955,-0.072,-0.320,0.087,192.25,-5.67,105.83
1903155,-0.416,-0.610,0.546,148.94,-48.71,62.56
1903355,-0.132,-0.648,0.693,-22.51,20.64,-12.55
1903555,-0.188,-0.457,0.295,-109.56,12.09,-49.43
1903755,0.079,-0.210,-0.135,-167.52,10.14,-55.58
1903955,0.152,0.296,-0.399,-199.98,59.23,-82.65
1904155,0.318,0.712,-0.312,-160.61,61.12,-85.89
1904355,0.132,0.714,-0.175,-33.46,-1.23,-19.82
1904555,0.115,0.561,-0.255,130.61,-15.06,84.92
1904755,0.066,0.134,-0.406,227.00,1.49,102.68
1904955,-0.184,-0.384,0.119,179.73,-21.46,89.60
1905155,-0.149,-0.678,0.509,129.98,-34.18,38.98
1905355,0.030,-0.612,0.634,-23.88,-14.44,-17.02
1905555,-0.114,-0.500,0.249,-118.77,-13.65,-52.08
1905755,0.071,-0.136,-0.132,-194.63,81.17,-90.95
1905955,0.243,0.640,-0.314,-201.27,56.94,-134.05
1906155,0.091,0.753,-0.297,-83.62,-26.22,-79.60
1906355,0.007,0.584,-0.264,93.94,-54.04,81.24
1906555,0.100,0.206,-0.352,198.72,-21.01,123.84
1906755,-0.201,-0.302,0.076,195.70,24.65,78.89
1906955,-0.198,-0.617,0.541,137.15,-48.36,23.61
1907155,-0.156,-0.571,0.825,22.42,-39.84,6.69
1907355,-0.183,-0.475,0.317,-109.12,-8.31,-30.88
1907555,0.004,-0.074,-0.456,-208.49,25.74,-36.18
1907755,0.111,0.277,-0.603,-185.84,44.74,-60.14
1907955,0.082,0.858,-0.230,-196.48,57.25,-48.35
1908155,0.213,0.647,-0.226,-23.48,-6.91,-8.48
1908355,0.109,0.524,-0.259,188.47,-34.28,98.89
1908555,-0.064,-0.130,-0.284,252.04,-17.58,49.70
1908755,-0.424,-0.538,0.458,186.61,-30.42,-0.91
1908955,-0.167,-0.787,0.713,34.85,-13.13,-7.20
1909155,0.017,-0.479,0.582,-77.36,-0.55,9.76
1909355,0.239,-0.181,-0.328,-221.88,66.10,-19.42
1909555,0.482,0.277,-0.556,-210.46,34.42,-32.07
