timestamp_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
4197772,0.011,-0.004,-0.070,7.46,7.56,5.11
4197972,-0.033,0.005,-0.051,2.96,5.12,-0.18
4198172,-0.030,-0.012,-0.056,-3.72,-15.34,-2.75
4198372,-0.013,-0.000,-0.065,-7.75,-16.41,-2.10
4198572,0.005,-0.009,-0.089,-7.98,-25.31,4.47
4198772,-0.030,-0.020,-0.063,1.76,-8.07,2.91
4198972,0.175,-0.141,-0.384,54.19,-101.65,88.26
4199172,0.040,-0.305,-0.691,207.98,-88.39,94.27
4199372,-0.269,-0.670,-0.279,211.59,-26.46,35.84
4199572,-0.378,-0.957,0.529,161.62,-14.11,30.23
4199772,-0.268,-1.003,0.305,-49.35,20.54,-14.72
4199972,-0.086,-0.496,0.023,-180.39,19.71,-47.79
4200172,-0.011,-0.113,-0.616,-147.02,46.00,-23.44
4200372,0.010,0.203,-0.270,-76.49,68.20,-56.75
4200572,0.255,0.477,-0.151,-98.89,47.53,-40.34
4200772,0.155,0.506,0.018,-58.90,30.85,-53.46
4200972,0.126,0.428,0.093,-38.22,-16.33,-19.47
4201172,0.100,0.326,0.101,16.30,-25.93,23.49
4201372,0.125,0.239,-0.101,73.90,-42.79,61.37
4201572,0.088,0.014,-0.416,154.41,-62.30,83.79
4201772,-0.130,-0.413,-0.180,170.41,-41.99,45.66
4201972,-0.228,-0.723,0.234,107.71,-22.31,23.56
4202172,-0.301,-0.597,0.511,19.40,37.47,6.40
4202372,-0.129,-0.707,0.198,-25.30,-23.12,-7.03
4202572,-0.057,-0.423,-0.015,-96.88,12.54,-17.19
4202772,0.027,-0.102,-0.182,-114.50,40.09,-43.81
4202972,0.195,0.187,-0.404,-100.12,41.87,-49.05
4203172,0.116,0.449,-0.179,-77.43,45.61,-44.36
4203372,0.115,0.708,0.051,-103.66,65.90,-69.41
4203572,0.131,0.592,0.362,-11.37,29.52,-36.70
4203772,0.018,0.519,0.192,-0.05,12.85,-8.50
4203972,0.040,0.361,0.151,-6.17,-45.41,16.28
4204172,0.142,0.240,-0.076,89.07,-49.53,68.13
4204372,0.161,-0.024,-0.332,125.89,-41.69,71.21
4204572,-0.055,-0.371,-0.291,145.02,-64.00,58.39
4204772,-0.236,-0.675,-0.015,126.58,15.33,17.97
4204972,-0.296,-0.768,0.426,107.70,0.33,6.46
4205172,-0.213,-0.731,0.119,-41.98,5.09,-8.60
4205372,-0.128,-0.432,0.068,-72.47,11.88,-11.20
4205572,0.001,-0.172,-0.177,-103.89,13.87,-24.09
4205772,-0.101,0.117,-0.278,-106.49,-9.55,-39.28
4205972,0.039,0.390,-0.167,-87.46,48.10,-39.21
4206172,0.250,0.597,-0.055,-100.96,43.88,-54.05
4206372,0.218,0.658,0.080,-68.92,25.61,-32.44
4206572,0.086,0.464,0.130,-14.15,-2.04,-8.02
4206772,0.086,0.379,0.184,-1.12,-3.30,2.87
4206972,0.056,0.310,0.033,38.08,-19.99,26.18
4207172,0.100,0.144,-0.169,92.27,-50.17,58.92
4207372,0.022,-0.153,-0.388,156.89,-57.40,58.03
4207572,-0.146,-0.502,-0.044,158.45,-21.39,28.80
4207772,-0.226,-0.897,0.741,141.01,-65.38,-8.93
4207972,-0.183,-0.899,0.011,-37.17,3.64,-3.21
4208172,-0.132,-0.478,0.065,-32.00,11.27,-5.21
4208372,-0.063,-0.212,-0.090,-96.43,0.32,-23.55
4208572,-0.142,0.135,-0.096,-88.55,80.57,-57.15
4208772,0.200,0.394,-0.269,-91.14,48.95,-43.88
4208972,0.164,0.668,0.004,-93.58,43.07,-75.78
4209172,0.141,0.704,0.154,-28.92,43.88,-55.79
4209372,0.080,0.484,0.162,-36.95,-12.25,-12.87
4209572,0.069,0.433,0.184,2.38,-8.78,3.84
4209772,0.083,0.329,0.085,28.99,-37.32,38.01
4209972,0.112,0.197,-0.179,85.25,-53.58,66.85
4210172,0.041,-0.122,-0.464,184.97,-78.85,83.72
4210372,-0.206,-0.497,-0.079,160.80,-30.72,24.95
4210572,-0.218,-0.866,0.291,105.82,4.67,24.91
4210772,-0.229,-0.740,0.116,-38.59,-1.80,-15.90
4210972,-0.154,-0.547,0.226,-56.18,9.44,-16.30
4211172,0.088,-0.109,-0.143,-147.17,29.09,-45.99
4211372,0.247,0.294,-0.408,-112.41,-7.18,-59.59
4211572,0.150,0.392,-0.104,-63.29,34.57,-33.92
4211772,0.063,0.604,0.099,-66.17,56.20,-58.58
4211972,0.133,0.498,0.169,-45.18,13.78,-33.10
4212172,0.040,0.447,0.166,-17.99,-0.46,-10.60
4212372,0.016,0.364,0.178,14.59,-15.20,13.84
4212572,0.098,0.216,-0.036,56.36,-45.22,42.90
4212772,0.109,0.034,-0.386,143.96,-87.83,74.95
4212972,-0.082,-0.358,-0.300,191.86,-52.93,40.31
4213172,-0.265,-0.682,0.027,134.23,-14.45,2.51
4213372,-0.250,-0.742,0.404,0.76,40.55,0.30
4213572,-0.130,-0.639,0.185,-33.80,-0.37,-7.82
4213772,-0.095,-0.291,-0.019,-128.49,5.85,-32.22
4213972,0.166,0.105,-0.365,-121.82,78.50,-55.25
4214172,0.052,0.545,-0.256,-103.08,15.98,-60.43
4214372,0.206,0.619,0.083,-107.17,55.03,-48.59
4214572,0.070,0.509,0.197,-43.17,-10.53,-15.03
4214772,0.009,0.454,0.243,-16.00,9.80,-12.01
4214972,0.039,0.345,0.169,25.72,-5.29,10.98
4215172,0.126,0.237,-0.061,86.67,-41.19,53.30
4215372,0.120,-0.002,-0.297,141.60,-55.68,70.22
4215572,-0.077,-0.404,-0.326,163.27,-52.54,49.09
4215772,-0.279,-0.692,0.154,159.91,-29.44,13.99
4215972,-0.215,-0.775,0.381,-15.41,12.07,-4.85
4216172,-0.143,-0.637,0.230,-53.47,-3.09,-15.21
4216372,-0.021,-0.276,-0.226,-140.72,8.03,-41.53
4216572,0.112,0.083,-0.302,-106.97,14.61,-33.74
4216772,0.046,0.400,-0.197,-90.32,55.35,-45.55
4216972,0.122,0.589,0.020,-85.22,56.77,-50.64
4217172,0.076,0.539,0.179,-62.50,34.89,-41.95
4217372,0.068,0.444,0.213,-19.49,-6.23,-6.08
4217572,0.054,0.377,0.204,18.47,-2.43,10.63
4217772,0.107,0.261,0.023,68.74,-43.98,48.62
4217972,0.154,0.043,-0.305,128.47,-72.97,76.48
4218172,-0.060,-0.305,-0.381,165.22,-58.48,56.82
4218372,-0.177,-0.670,-0.005,174.86,-47.09,31.64
4218572,-0.370,-0.641,0.445,-25.04,7.13,-15.78
4218772,-0.143,-0.695,0.187,-44.61,5.81,-12.83
4218972,-0.067,-0.313,-0.074,-122.95,28.12,-28.66
4219172,0.064,0.016,-0.276,-120.30,39.61,-42.19
4219372,0.101,0.329,-0.221,-76.62,53.86,-56.72
4219572,0.183,0.674,0.069,-114.51,57.09,-74.31
4219772,0.115,0.520,0.156,-33.50,1.11,-29.15
4219972,0.093,0.411,0.152,-15.68,-2.19,-4.18
4220172,0.082,0.339,0.116,45.18,-24.38,31.24
4220372,0.106,0.220,-0.081,89.15,-46.80,58.37
4220572,0.036,-0.050,-0.359,145.86,-65.15,61.69
4220772,-0.192,-0.464,-0.288,170.30,-60.80,24.76
4220972,-0.338,-0.683,0.495,158.22,-50.55,15.34
4221172,-0.161,-0.812,0.196,-59.41,1.39,-18.96
4221372,-0.116,-0.525,0.254,-81.33,25.92,-25.34
4221572,-0.042,-0.159,-0.146,-146.79,-3.78,-38.57
4221772,0.231,0.240,-0.283,-117.52,23.19,-33.82
4221972,0.112,0.553,-0.190,-98.66,43.60,-42.21
4222172,0.253,0.580,0.047,-88.33,-4.16,-29.53
4222372,0.048,0.462,0.100,-50.07,6.51,-14.67
4222572,0.030,0.386,0.154,12.50,-2.99,4.07
4222772,0.082,0.313,0.071,52.99,-15.27,24.31
4222972,0.156,0.162,-0.321,149.80,-81.91,78.60
4223172,-0.023,-0.293,-0.356,198.98,-54.33,57.02
4223372,-0.315,-0.609,0.271,172.54,-22.78,28.64
4223572,-0.280,-0.752,0.325,-52.14,21.00,-12.68
4223772,-0.119,-0.597,0.218,-77.18,17.64,-27.47
4223972,-0.035,-0.210,-0.103,-142.15,10.80,-49.45
4224172,0.210,0.226,-0.141,-125.44,55.17,-45.40
4224372,0.300,0.855,-0.272,-164.76,62.83,-111.31
4224572,0.086,0.462,0.131,-50.08,-8.47,-33.57
4224772,0.072,0.376,0.136,-10.43,3.71,3.28
4224972,0.001,0.347,0.131,37.36,-12.03,34.60
4225172,0.061,0.220,-0.048,73.02,-52.18,55.47
4225372,0.032,-0.037,-0.366,150.60,-74.49,68.53
4225572,-0.143,-0.502,-0.211,170.52,-31.03,19.96
4225772,-0.325,-0.717,0.234,142.23,11.97,5.86
4225972,-0.084,-0.785,0.323,-3.05,5.59,-4.63
4226172,-0.170,-0.507,0.264,-91.14,18.77,-20.52
4226372,-0.138,-0.127,-0.176,-173.93,11.46,-60.46
4226572,0.426,0.364,-0.206,-157.27,16.42,-73.90
4226772,0.143,0.795,-0.047,-116.80,62.94,-92.32
4226972,0.054,0.560,0.165,-25.87,-4.17,-24.00
4227172,0.015,0.443,0.100,-17.42,-20.84,-1.43
4227372,0.004,0.349,0.149,16.86,-15.05,20.21
4227572,0.072,0.224,-0.134,90.09,-43.68,49.56
4227772,0.005,-0.005,-0.442,160.75,-69.62,58.96
4227972,-0.131,-0.427,-0.278,175.71,-31.36,19.41
4228172,-0.317,-0.744,0.161,171.33,-11.85,0.28
4228372,-0.113,-0.742,0.454,-40.17,-11.14,-6.71
4228572,-0.114,-0.619,0.259,-71.03,29.05,-13.47
4228772,0.027,-0.290,-0.108,-131.85,39.87,-35.44
4228972,0.162,0.193,-0.382,-117.08,43.23,-43.63
4229172,0.198,0.326,-0.151,-95.23,8.50,-28.76
4229372,0.160,0.455,-0.014,-60.20,23.01,-24.99
4229572,0.067,0.624,0.105,-77.29,36.38,-46.22
4229772,0.043,0.473,0.158,-45.53,13.97,-23.92
4229972,0.023,0.388,0.168,15.40,-14.50,14.22
4230172,0.084,0.282,-0.002,79.31,-36.33,45.79
4230372,0.046,0.091,-0.275,125.12,-57.22,58.70
4230572,-0.073,-0.353,-0.343,180.18,-67.81,49.08
4230772,-0.268,-0.676,0.115,137.03,-36.98,8.43
4230972,-0.202,-0.695,0.660,57.63,-5.66,2.63
4231172,-0.129,-0.772,0.147,-20.73,-6.23,-5.66
4231372,-0.135,-0.412,0.081,-108.24,24.75,-15.21
4231572,-0.072,-0.088,-0.354,-132.73,22.96,-28.76
4231772,0.042,0.287,-0.293,-85.13,4.06,-40.30
4231972,0.164,0.464,-0.098,-87.78,32.38,-37.60
4232172,0.202,0.626,0.020,-96.99,36.51,-52.20
4232372,0.114,0.511,0.131,-29.81,-6.99,-20.61
4232572,0.066,0.462,0.207,0.49,4.56,-4.81
4232772,0.031,0.367,0.148,12.40,-6.85,15.34
4232972,0.083,0.204,-0.090,71.73,-39.59,51.18
4233172,0.096,-0.015,-0.377,153.04,-54.92,75.34
4233372,-0.089,-0.435,-0.263,196.40,-62.96,50.63
4233572,-0.299,-0.696,0.398,148.26,-25.86,4.34
4233772,-0.209,-0.834,0.172,-52.82,4.65,-19.25
4233972,-0.144,-0.590,0.211,-41.47,19.74,-2.08
4234172,-0.133,-0.263,-0.014,-133.41,23.96,-21.13
4234372,0.059,0.179,-0.282,-140.74,22.70,-48.77
4234572,0.207,0.464,-0.065,-121.29,93.17,-66.47
4234772,0.248,0.702,0.029,-107.82,-1.07,-63.07
4234972,0.088,0.477,0.083,-30.89,-20.49,0.24
4235172,0.084,0.395,0.105,17.99,-9.84,16.63
4235372,0.087,0.319,0.004,59.19,-20.21,36.10
4235572,0.080,0.158,-0.279,119.51,-65.05,60.01
4235772,-0.040,-0.295,-0.350,173.55,-74.92,45.62
4235972,-0.261,-0.616,0.083,164.86,-29.14,4.89
4236172,-0.207,-0.711,0.542,30.19,12.49,-2.45
4236372,-0.127,-0.651,0.172,-32.25,11.48,-2.07
4236572,-0.085,-0.381,-0.044,-107.81,16.26,-11.17
4236772,-0.091,-0.056,-0.274,-117.64,30.44,-19.30
4236972,0.071,0.309,-0.297,-96.46,29.82,-33.57
4237172,0.161,0.600,-0.046,-98.88,57.37,-50.90
4237372,0.156,0.589,0.094,-59.61,68.66,-71.79
4237572,0.147,0.449,0.167,-17.51,-19.33,4.41
4237772,0.068,0.408,0.210,7.84,0.47,7.39
4237972,0.018,0.364,0.201,6.65,-3.87,2.14
4238172,0.063,0.177,-0.075,35.38,-39.09,21.81
4238372,0.099,0.058,-0.321,110.53,-60.29,62.97
4238572,-0.080,-0.253,-0.486,204.08,-91.35,61.76
4238772,-0.297,-0.634,0.127,168.60,-18.34,-4.63
4238972,-0.267,-0.756,0.566,13.97,12.34,-3.32
4239172,-0.135,-0.650,0.226,-64.56,18.40,-9.44
