timestamp_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
1015572,0.010,0.001,-0.004,-0.01,-2.72,0.13
1015772,0.003,0.000,-0.004,0.09,-1.19,-0.05
1015972,-0.001,0.002,-0.003,-0.03,-1.09,-0.98
1016172,0.003,0.001,-0.004,0.20,-0.49,-0.26
1016372,-0.002,0.001,-0.000,-0.08,0.01,-0.76
1016572,0.002,0.001,-0.001,-0.25,0.74,-0.84
1016772,-0.009,0.005,-0.002,-0.32,1.25,-0.29
1016972,0.000,-0.004,0.001,-0.42,0.55,-0.15
1017172,-0.007,0.000,0.004,-0.39,1.27,-0.18
1017372,-0.002,-0.004,0.003,-0.30,2.16,0.37
1017572,-0.009,-0.002,0.006,-0.09,2.34,0.73
1017772,-0.003,0.001,0.006,-0.04,0.40,-0.12
1017972,-0.003,-0.001,0.005,-0.14,-1.48,-0.82
1018172,0.002,-0.001,0.008,-0.10,-0.71,-0.40
1018372,0.006,-0.003,-0.001,-0.11,-1.13,-0.50
1018572,0.001,0.001,-0.002,-0.19,0.29,-0.18
1018772,0.002,-0.000,0.000,0.02,-1.16,-0.22
1018972,0.002,-0.003,-0.002,0.19,-0.23,0.27
1019172,-0.002,0.003,0.001,0.09,-0.36,-0.41
1019372,-0.002,0.001,-0.002,-0.18,-1.89,-0.37
1019572,0.002,-0.001,-0.002,-0.68,1.10,-0.10
1019772,0.004,-0.000,0.001,-0.20,2.93,-0.38
1019972,0.002,0.003,0.001,-0.17,0.18,-0.50
1020172,-0.004,0.001,0.004,-0.10,-0.04,-0.53
1020372,-0.011,-0.002,0.006,-0.19,-0.84,-0.81
1020572,0.003,0.000,0.001,0.29,-0.74,0.26
1020772,-0.005,0.002,-0.002,-0.10,0.58,-0.00
1020972,0.002,0.003,-0.002,0.13,-1.13,-0.60
1021172,0.003,-0.002,-0.002,0.31,0.38,0.27
1021372,0.001,-0.002,-0.001,0.06,0.77,0.15
1021572,0.003,0.001,0.002,-0.14,-0.84,-0.21
1021772,0.002,0.002,-0.003,-0.24,1.76,-0.15
1021972,0.003,0.001,0.004,0.08,-0.04,0.22
1022172,0.003,0.000,-0.000,-0.18,0.76,-0.57
1022372,0.001,-0.001,-0.000,0.11,0.10,-0.32
1022572,-0.002,-0.000,-0.000,-0.01,0.21,-0.44
1022772,0.003,-0.004,-0.004,-0.09,-1.76,-0.99
1022972,-0.005,0.002,-0.001,0.09,0.29,-0.34
