timestamp_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
2584972,0.032,0.003,0.008,2.67,-1.96,-0.43
2585172,-0.038,0.016,0.010,0.78,4.29,-0.53
2585372,0.010,0.001,-0.017,-1.21,1.88,2.29
2585572,-0.015,0.009,0.018,0.77,0.29,-0.24
2585772,0.059,-0.008,-0.004,1.92,9.31,8.67
2585972,0.139,-0.065,-0.103,7.83,-4.07,20.36
2586172,-0.371,0.005,-0.129,54.43,-61.38,33.41
2586372,0.424,0.338,0.603,-43.69,22.22,-132.76
2586572,0.587,0.164,-0.724,-31.20,-0.24,136.84
2586772,-1.572,0.012,0.106,106.41,29.16,25.08
2586972,0.618,0.642,0.901,-50.53,-46.59,-170.09
2587172,0.483,0.187,-0.755,-96.94,-7.77,141.68
2587372,-0.623,-0.335,-0.450,92.82,-50.76,98.11
2587572,-0.503,0.015,0.533,89.21,-44.85,-105.95
2587772,0.966,0.287,0.434,-128.12,-61.46,-85.43
2587972,0.317,-0.028,-0.684,-14.75,17.09,156.14
2588172,-1.042,-0.261,-0.227,100.06,-34.21,72.00
2588372,-0.140,-0.038,0.582,23.92,-17.16,-110.63
2588572,0.854,0.380,0.185,-151.92,-56.75,-97.28
2588772,0.172,-0.104,-0.696,1.05,6.08,172.27
2588972,-0.858,-0.181,-0.145,120.52,-53.51,59.14
2589172,-0.022,0.038,0.883,10.82,-9.55,-167.44
2589372,0.917,-0.003,-0.362,-132.49,-56.73,24.76
2589572,-0.195,-0.133,-0.501,23.32,18.57,153.64
2589772,-1.005,-0.301,0.135,101.25,-49.45,-12.28
2589972,0.323,0.180,0.688,-35.72,9.19,-144.11
2590172,0.859,0.014,-0.397,-101.06,-25.88,47.47
2590372,-0.492,-0.184,-0.506,56.21,18.14,124.63
2590572,-0.545,0.023,0.333,95.97,-46.32,-57.99
2590772,0.389,0.140,0.803,-33.67,67.07,-166.00
2590972,0.603,-0.026,-0.678,-83.59,-15.15,127.17
2591172,-0.605,-0.173,-0.377,74.37,-7.80,114.90
2591372,-0.555,-0.006,0.684,86.92,-22.25,-101.88
2591572,0.681,0.439,0.331,-130.19,-51.91,-112.10
2591772,0.479,-0.198,-0.692,-24.18,-7.02,134.87
2591972,-0.804,-0.168,-0.170,103.92,9.49,53.11
2592172,-0.412,0.293,0.654,41.18,-11.21,-124.44
2592372,0.990,0.219,0.113,-186.52,-24.13,-66.11
2592572,-0.420,-0.096,-0.810,17.80,80.48,164.07
2592772,-0.844,-0.008,0.111,157.17,-100.91,-10.00
2592972,0.550,0.240,1.086,-66.71,-31.99,-172.77
2593172,0.887,0.066,-0.558,-95.07,-92.19,161.29
2593372,-0.985,-0.377,-0.437,94.86,-17.14,98.38
2593572,-0.587,0.332,0.611,125.18,-86.37,-134.16
2593772,1.072,0.003,0.927,-141.34,17.01,-144.86
2593972,0.482,0.047,-0.665,-80.24,33.94,196.06
2594172,-1.117,-0.227,-0.494,127.32,-42.36,78.37
2594372,-0.366,0.363,1.044,70.11,-57.11,-145.25
2594572,1.037,0.285,0.053,-182.40,26.48,-51.11
2594772,-0.071,-0.146,-0.666,-8.37,27.67,236.28
2594972,-1.173,-0.172,0.013,145.20,-44.05,2.08
2595172,0.277,0.423,1.048,-22.85,-47.49,-185.47
2595372,0.645,-0.156,-0.562,-179.01,-37.40,33.05
2595572,-0.272,-0.216,-0.643,68.17,-89.40,148.58
2595772,-0.937,0.038,0.390,142.27,-39.83,-66.56
