timestamp_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
2550355,0.004,0.008,0.001,-0.87,-2.42,0.50
2550555,-0.017,0.011,0.001,-0.16,-3.22,-5.73
2550755,-0.005,-0.003,-0.000,-4.56,-9.00,0.40
2550955,-0.008,-0.004,-0.000,-3.88,-10.98,-2.75
2551155,-0.063,0.058,0.073,-16.77,-27.14,-1.49
2551355,0.034,-0.057,-0.046,-14.24,-16.39,-15.84
2551555,0.004,-0.000,0.004,11.78,-5.61,0.75
2551755,0.002,0.018,0.061,-2.85,2.17,-4.17
2551955,0.013,-0.003,-0.041,-2.59,-2.40,-2.61
2552155,-0.038,-0.003,0.014,4.57,0.05,-4.31
2552355,-0.107,0.011,-0.028,0.50,-18.94,-15.20
2552555,0.015,0.032,-0.004,-8.38,-34.57,-16.99
2552755,-0.046,0.014,0.035,-19.20,-35.94,-10.05
2552955,-0.149,0.081,0.382,-82.42,17.38,-48.56
2553155,0.045,-0.003,0.336,-136.14,-8.08,-16.99
2553355,-0.073,-0.392,0.412,-121.92,23.16,20.68
2553555,-0.123,-0.729,0.164,-104.79,-16.28,-6.91
2553755,-0.045,-0.876,-0.246,-11.04,-18.42,-20.50
2553955,-0.023,-0.253,0.088,143.38,51.23,23.65
2554155,-0.172,0.643,0.350,187.92,-3.45,37.15
2554355,0.117,0.713,0.127,127.74,-54.44,44.80
2554555,-0.508,0.365,0.542,-9.41,9.98,-26.53
2554755,-0.024,0.368,-0.008,-149.10,-32.75,-41.02
2554955,0.008,0.143,0.060,-193.37,-48.94,-49.39
2555155,0.129,-0.744,-0.169,-124.42,-16.16,2.42
2555355,0.062,-0.962,-0.559,-2.44,-49.04,8.76
2555555,0.104,-0.080,-0.090,194.02,4.41,14.65
2555755,0.077,0.595,0.145,177.17,11.26,17.98
2555955,0.142,0.419,0.179,103.85,-38.04,14.59
2556155,-0.164,0.203,0.022,-27.11,61.82,-14.99
2556355,0.101,0.262,0.126,-128.66,28.52,-19.23
2556555,0.051,0.139,0.101,-183.60,-4.20,-23.14
2556755,0.047,-0.591,-0.172,-137.13,-5.00,-19.76
2556955,-0.079,-0.897,-0.351,-26.83,11.52,0.78
2557155,0.056,-0.499,0.017,109.71,-4.79,10.43
2557355,-0.140,0.222,0.199,158.80,-25.84,38.53
2557555,-0.032,0.387,0.098,150.41,3.98,36.29
2557755,0.254,0.342,-0.051,101.31,31.66,40.43
2557955,-0.001,0.337,-0.218,-64.80,29.71,-10.84
2558155,-0.105,0.312,0.379,-138.55,55.61,-41.29
2558355,0.081,0.070,0.044,-196.29,-28.33,-24.12
2558555,-0.068,-0.726,-0.251,-137.59,-70.71,-1.92
2558755,0.019,-0.855,-0.503,37.19,-8.92,13.21
2558955,0.144,0.011,-0.119,204.28,34.34,47.34
