timestamp_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
3950372,-0.024,-0.005,0.021,-2.74,1.02,-4.64
3950572,-0.024,0.010,0.013,-4.75,0.37,-13.62
3950772,-0.036,0.016,0.014,1.54,-2.78,3.22
3950972,-0.028,0.015,0.023,3.10,-0.29,0.27
3951172,-0.025,0.010,0.021,0.45,-1.78,5.82
3951372,-0.046,0.029,0.043,-6.78,-3.20,1.73
3951572,0.019,0.082,0.240,-19.22,12.23,-4.76
3951772,-0.072,0.409,0.571,-141.85,31.33,-13.05
3951972,0.035,0.027,0.269,-196.93,50.27,12.26
3952172,-0.252,-0.717,0.086,-156.04,72.07,3.09
3952372,-0.405,-0.974,0.255,-23.60,29.33,-13.25
3952572,-0.295,-0.759,0.354,10.19,-11.26,6.37
3952772,-0.170,-0.557,0.234,24.08,-34.46,6.99
3952972,-0.052,-0.235,0.219,75.69,-16.54,11.50
3953172,0.053,0.118,0.352,106.26,-11.58,6.65
3953372,0.171,0.316,0.141,94.28,-26.78,2.31
3953572,0.181,0.453,-0.024,108.89,-0.73,1.93
3953772,0.101,0.457,-0.294,71.37,-38.75,8.63
3953972,0.082,0.366,-0.218,17.70,-6.97,4.69
3954172,0.082,0.274,-0.246,-32.97,-3.95,0.11
3954372,0.028,0.328,0.156,-60.13,50.34,-31.26
3954572,-0.033,0.321,0.281,-164.79,29.81,-17.02
3954772,-0.068,-0.280,0.023,-179.19,28.74,7.18
3954972,-0.190,-0.807,-0.047,-64.75,22.84,7.03
3955172,-0.334,-0.717,0.108,-3.59,9.17,-1.50
3955372,-0.188,-0.580,0.235,11.19,-6.84,3.50
3955572,-0.130,-0.401,0.165,16.62,-15.26,4.17
3955772,-0.130,-0.205,0.076,33.75,-45.79,-0.81
3955972,0.052,0.007,0.101,66.40,-22.62,12.31
3956172,0.093,0.260,0.087,95.69,-24.42,4.26
3956372,0.201,0.394,-0.007,75.31,-69.98,11.70
3956572,0.172,0.498,-0.137,82.56,-14.10,-7.58
3956772,-0.006,0.456,-0.171,39.72,-2.15,-6.37
3956972,0.171,0.309,-0.386,28.96,-9.68,1.16
3957172,0.154,0.261,-0.322,11.81,-5.39,2.93
3957372,0.128,0.227,-0.211,-18.98,0.74,-0.67
3957572,0.224,0.327,0.258,-99.51,8.93,-4.80
3957772,0.003,0.282,0.153,-173.72,88.02,-26.45
3957972,-0.092,-0.411,-0.081,-158.45,52.84,-0.08
3958172,-0.273,-0.844,-0.031,-39.71,5.46,1.53
3958372,-0.293,-0.694,0.278,6.02,-2.07,3.13
3958572,-0.188,-0.519,0.233,4.83,-10.39,4.11
3958772,-0.102,-0.370,0.101,25.12,-17.04,4.50
3958972,0.015,-0.197,0.131,59.20,-16.74,-2.78
3959172,0.056,0.128,0.043,85.47,-27.42,-4.03
3959372,0.190,0.384,0.054,88.49,-52.20,6.79
3959572,0.204,0.485,-0.152,114.27,-7.86,-7.27
3959772,0.251,0.526,-0.250,85.14,-6.00,4.44
3959972,0.020,0.411,-0.223,21.91,-10.37,1.17
3960172,0.085,0.254,-0.380,-22.46,-21.82,3.28
3960372,0.135,0.242,-0.048,-33.08,16.32,-0.15
3960572,0.035,0.336,0.178,-103.20,68.58,-23.30
3960772,0.011,0.083,0.110,-180.42,-16.03,-0.05
3960972,-0.167,-0.550,-0.047,-118.93,28.29,7.36
3961172,-0.252,-0.753,0.087,-14.75,25.09,3.60
3961372,-0.188,-0.601,0.290,9.17,3.71,-3.39
3961572,-0.141,-0.450,0.253,5.59,-8.74,0.19
3961772,-0.099,-0.304,0.128,14.36,-8.99,7.43
3961972,0.001,-0.190,0.004,39.14,-29.24,-3.24
3962172,0.108,0.066,-0.026,83.19,-82.66,-3.71
3962372,0.207,0.458,-0.077,143.37,-10.10,-22.57
3962572,0.171,0.660,-0.125,104.26,-14.88,-6.94
3962772,0.232,0.422,-0.303,57.12,-14.68,16.50
3962972,0.090,0.360,-0.329,10.16,-14.50,1.96
3963172,0.066,0.253,-0.338,-23.62,-13.49,-3.00
3963372,0.045,0.309,0.042,-39.78,27.28,-24.24
3963572,0.126,0.379,0.181,-133.89,59.54,-3.49
3963772,0.032,-0.097,-0.023,-161.66,38.07,16.67
3963972,-0.301,-0.617,0.186,-86.43,62.71,13.48
3964172,-0.229,-0.696,0.121,-13.64,14.07,2.26
3964372,-0.198,-0.571,0.274,7.26,-4.00,-1.43
3964572,-0.186,-0.386,0.226,13.07,-6.30,2.38
3964772,-0.164,-0.196,0.046,61.80,4.80,2.10
3964972,0.170,-0.014,0.076,78.28,-49.35,0.56
3965172,0.057,0.471,-0.050,115.68,-50.72,17.55
3965372,0.196,0.590,-0.147,108.51,-40.98,8.96
3965572,0.097,0.368,-0.227,55.31,-26.84,16.78
3965772,0.128,0.369,-0.269,1.80,-4.28,-0.60
3965972,0.104,0.282,-0.143,-44.16,2.88,-5.34
3966172,0.078,0.489,0.200,-149.27,46.30,-5.02
3966372,0.025,-0.009,-0.026,-176.81,35.03,1.53
3966572,-0.160,-0.674,-0.003,-103.33,51.13,2.55
3966772,-0.224,-0.764,0.112,-3.15,27.96,3.67
3966972,-0.218,-0.549,0.290,9.70,1.48,-2.17
