timestamp_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
2789155,0.023,-0.023,-0.006,-4.27,-4.70,-9.53
2789355,0.032,0.017,-0.034,2.59,-8.58,3.92
2789555,-0.042,0.021,0.049,4.11,48.42,14.71
2789755,-0.010,0.054,-0.032,-11.03,-43.06,-6.39
2789955,-0.060,0.006,-0.053,-17.89,-67.53,-43.94
2790155,-0.001,0.020,-0.046,-11.48,-40.70,-45.15
2790355,0.107,-0.009,0.029,12.91,31.87,-6.03
2790555,-0.089,0.020,0.032,-1.94,30.74,49.14
2790755,-0.083,-0.007,-0.038,4.18,22.36,19.25
2790955,-0.228,0.081,-0.012,-12.25,-65.83,-26.43
2791155,-0.187,0.158,0.135,-81.04,-180.50,-82.71
2791355,0.182,0.095,0.297,-185.54,-202.40,12.42
2791555,0.711,-0.426,-0.036,-127.50,-162.20,153.47
2791755,0.440,-0.889,-0.404,8.58,-51.46,185.47
2791955,0.143,-1.007,-0.356,91.18,-59.91,168.21
2792155,-0.326,-0.619,0.039,104.92,-85.22,83.00
2792355,-0.251,-0.325,0.367,160.42,-22.72,8.11
2792555,-0.138,-0.104,0.997,97.21,-39.35,10.10
2792755,-0.121,-0.114,0.563,12.37,-17.65,4.98
2792955,-0.080,-0.088,0.269,-20.20,-5.39,1.23
2793155,-0.063,-0.160,0.122,9.92,-8.61,-6.21
2793355,0.025,-0.037,0.163,1.38,-0.55,-11.69
2793555,-0.110,0.090,-0.233,48.44,-29.36,-31.07
2793755,-0.006,0.585,-0.139,117.61,-65.74,-111.22
2793955,-0.019,1.011,-0.069,101.99,-117.07,-172.63
2794155,-0.091,0.744,-0.314,-98.46,-250.31,-118.54
2794355,0.152,0.199,0.337,-219.73,-110.39,-63.14
2794555,0.451,-0.604,-0.078,-158.35,-66.26,70.43
2794755,0.111,-0.756,-0.019,-77.10,-67.30,148.50
2794955,-0.136,-0.595,-0.103,-1.95,-164.45,168.69
2795155,-0.263,-0.364,-0.251,92.26,-226.98,115.22
2795355,-0.213,0.018,0.458,151.92,-34.00,64.76
2795555,-0.037,-0.016,0.617,46.67,-27.66,18.13
2795755,-0.118,-0.052,0.158,23.00,7.00,-8.13
2795955,-0.036,0.056,0.038,14.04,34.88,-10.81
2796155,0.015,0.172,0.109,15.41,24.39,-15.72
2796355,0.025,0.144,0.029,1.30,-18.54,4.49
2796555,-0.060,0.013,0.045,-13.24,-38.81,9.13
2796755,0.089,-0.151,-0.021,-12.71,-27.10,3.91
2796955,0.084,-0.087,-0.043,1.38,-17.39,3.06
2797155,-0.232,0.129,-0.569,73.08,-52.46,-53.75
2797355,0.066,1.381,-0.164,139.56,-71.33,-245.37
2797555,0.135,0.911,0.014,-151.36,-250.31,-190.57
2797755,0.339,0.014,0.028,-240.72,-137.80,26.67
2797955,0.379,-0.714,-0.397,-106.21,-51.07,198.26
2798155,-0.111,-0.731,-0.283,13.55,-92.89,207.43
2798355,-0.450,-0.390,-0.052,123.88,-156.56,111.29
2798555,0.133,0.177,0.474,195.41,-92.01,21.42
2798755,0.039,0.102,0.516,48.19,-48.17,2.46
2798955,0.089,-0.025,0.130,2.45,-19.58,-0.12
2799155,0.051,-0.051,0.123,-20.17,0.38,7.01
2799355,0.006,-0.165,0.006,-28.43,6.03,7.43
2799555,-0.077,-0.162,0.032,-8.56,39.12,-7.34
2799755,-0.131,-0.052,0.070,6.99,17.58,-7.16
2799955,-0.066,0.046,0.107,-2.11,6.34,-8.53
2800155,-0.058,-0.101,0.003,-11.54,-12.49,3.52
2800355,-0.071,-0.085,0.081,-10.24,-14.85,-9.09
2800555,-0.003,-0.121,-0.024,-29.25,-23.70,-9.48
2800755,-0.185,-0.101,-0.502,50.02,-80.06,-27.42
2800955,0.188,1.190,0.008,129.55,-48.91,-251.20
2801155,0.217,1.133,0.093,-165.03,-250.31,-238.17
2801355,0.502,-0.132,-0.208,-244.98,-161.73,86.46
2801555,0.178,-0.696,-0.482,-97.72,-112.19,204.03
2801755,-0.201,-0.656,-0.348,58.91,-150.35,174.17
2801955,-0.308,-0.322,-0.026,169.99,-134.35,86.73
2802155,-0.550,0.105,0.961,138.25,-11.83,49.03
2802355,0.024,-0.073,0.267,11.28,-37.21,18.21
2802555,0.042,-0.140,0.034,2.60,-6.15,-0.44
2802755,0.075,-0.131,0.108,-4.08,-9.43,-5.60
2802955,0.083,-0.124,0.029,-14.90,8.87,7.72
2803155,-0.010,-0.182,0.004,-8.79,25.73,3.97
2803355,-0.064,-0.052,0.022,9.76,31.03,-3.92
2803555,-0.082,0.038,0.085,-2.84,27.14,-11.28
2803755,-0.102,-0.021,0.016,-7.10,-2.83,-0.75
2803955,-0.073,-0.093,0.020,-1.79,-21.75,-1.53
2804155,-0.015,-0.020,0.036,-7.88,15.11,-11.79
2804355,-0.085,-0.119,-0.145,-9.48,-16.28,-0.30
2804555,-0.139,0.144,-0.457,99.21,-69.46,-52.74
2804755,0.082,1.332,-0.218,166.27,-98.09,-204.60
2804955,0.051,1.172,-0.031,-113.38,-250.31,-244.89
2805155,0.570,-0.095,-0.125,-248.23,-224.61,69.56
2805355,0.427,-0.591,-0.306,-101.83,-50.36,231.44
2805555,-0.089,-0.782,-0.358,39.08,-137.94,192.77
2805755,-0.298,-0.075,-0.010,208.18,-189.97,76.09
2805955,-0.324,-0.057,0.975,108.83,-32.12,46.94
2806155,-0.053,-0.160,0.240,11.34,-26.00,2.06
2806355,0.019,-0.175,0.161,8.21,4.75,-13.05
2806555,0.090,-0.142,0.026,-5.16,-4.73,2.47
2806755,-0.046,-0.102,0.057,5.44,12.87,-12.07
2806955,0.048,0.002,0.021,17.92,27.16,-4.82
2807155,-0.065,0.108,0.105,-3.12,-6.10,-3.12
2807355,0.050,-0.048,0.047,-9.25,-7.47,4.18
2807555,-0.022,-0.202,-0.070,-15.96,-15.63,3.95
2807755,-0.139,-0.032,0.042,-8.15,-21.65,-15.24
2807955,-0.028,-0.000,-0.401,21.44,-98.29,-9.57
