timestamp_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
3289372,-0.003,-0.005,0.004,0.83,3.19,-0.93
3289572,-0.011,0.005,0.008,-0.08,-1.28,-0.50
3289772,0.005,-0.002,-0.005,-0.49,-5.09,1.66
3289972,0.019,-0.009,0.001,-1.72,-3.77,0.36
3290172,0.087,-0.024,0.158,9.12,54.60,-3.53
3290372,0.128,0.037,0.077,-33.20,16.52,41.56
3290572,0.780,0.083,0.460,-70.22,163.13,53.20
3290772,-0.062,-0.255,0.320,-160.30,58.90,99.65
3290972,-0.373,-0.624,-0.019,-48.27,52.94,85.37
3291172,0.216,-0.928,0.280,-22.23,-12.89,-4.40
3291372,-0.157,-0.765,-0.251,54.44,125.00,31.64
3291572,-0.961,0.446,-0.207,234.28,-4.44,36.90
3291772,-0.432,1.291,-0.122,204.55,-250.31,-79.31
3291972,0.781,0.259,-1.795,-245.56,-250.31,191.05
3292172,0.723,-0.252,-0.387,57.20,-55.74,249.07
3292372,0.249,-0.731,-0.137,64.59,-49.55,216.72
3292572,-0.169,-0.571,0.063,249.84,-7.70,41.11
3292772,-0.685,0.023,1.264,185.28,-43.31,-13.86
3292972,-0.290,-0.378,1.133,1.33,1.99,8.73
3293172,-0.193,-0.512,0.382,-27.28,-4.68,12.47
3293372,-0.177,-0.266,-0.148,81.90,41.41,4.89
3293572,-0.460,0.635,0.060,238.47,31.48,18.37
3293772,-0.627,1.392,0.029,196.20,-250.31,-82.50
3293972,1.587,-0.027,-1.250,-248.23,-250.31,249.07
3294172,0.694,-0.413,-0.586,33.99,-26.29,249.07
3294372,0.130,-0.798,-0.302,109.17,-122.81,97.04
3294572,-0.615,0.284,0.167,252.04,-123.26,-12.89
3294772,-0.621,-0.320,1.521,60.76,50.98,15.97
3294972,-0.094,-0.491,0.594,-23.22,-30.40,-6.71
3295172,-0.118,-0.410,0.410,-3.19,-3.12,-2.85
3295372,-0.158,-0.275,0.253,9.59,-14.75,24.30
3295572,-0.091,0.254,-0.353,146.78,117.16,65.70
3295772,-0.322,1.506,-0.031,252.04,-176.07,51.51
3295972,0.856,1.251,-1.066,-248.23,-250.31,-4.12
3296172,0.886,-0.542,-1.003,-62.06,-215.90,249.07
3296372,0.028,-0.748,-0.368,119.62,-55.66,142.63
3296572,-0.254,-0.301,0.187,252.04,50.06,48.81
3296772,-0.917,-0.019,1.510,110.30,-39.72,-2.11
3296972,-0.174,-0.391,0.733,-26.57,-10.21,6.49
3297172,-0.011,-0.339,-0.350,53.96,65.33,21.26
3297372,-0.259,0.669,-0.074,241.80,-102.77,17.19
3297572,-0.033,1.335,-0.094,41.47,-250.31,-222.76
3297772,0.874,-0.018,-0.835,-210.88,-250.31,249.07
3297972,0.346,-0.682,-0.649,20.92,-89.69,249.07
3298172,0.107,-0.843,-0.371,159.82,-70.36,64.58
3298372,-0.792,-0.074,0.424,252.04,11.30,-85.86
3298572,-0.422,-0.149,1.451,40.18,18.32,41.04
3298772,-0.205,-0.342,0.533,-31.30,-1.75,0.57
3298972,-0.063,-0.382,0.205,-3.35,-20.78,-5.86
3299172,0.201,-0.031,-0.418,133.29,76.85,-1.06
3299372,-0.330,0.964,-0.040,241.26,-68.91,0.33
3299572,-0.725,1.380,-0.360,97.18,-250.31,-180.14
3299772,1.196,0.239,-0.506,-248.23,-230.91,249.07
3299972,0.193,-0.934,-0.426,-32.59,-116.89,208.74
3300172,0.189,-0.966,-0.246,107.32,-110.40,36.04
3300372,-0.128,0.407,0.099,252.04,195.84,-31.62
3300572,-0.615,-0.151,1.393,57.48,45.19,42.52
3300772,0.014,-0.348,0.487,-40.99,-55.49,-2.07
3300972,-0.038,-0.298,-0.248,61.48,23.46,19.72
3301172,-0.067,0.421,-0.083,196.34,32.23,30.76
3301372,-0.905,1.430,-0.089,234.95,-250.31,-94.63
3301572,1.085,0.741,-1.103,-248.23,-250.31,113.09
3301772,0.850,-0.405,-0.468,8.05,-125.65,249.07
3301972,0.185,-0.897,-0.340,138.33,-49.71,127.52
3302172,-0.476,-0.501,0.378,173.93,-2.92,46.71
3302372,-1.004,0.223,1.137,211.96,119.96,-115.17
3302572,0.149,-0.370,0.723,-23.81,-61.97,-7.60
3302772,0.355,-0.506,0.182,-12.08,-8.86,-1.64
3302972,-0.131,-0.142,-0.583,136.05,155.29,26.60
3303172,-0.572,1.511,-0.126,252.04,-135.82,36.40
3303372,0.918,1.213,-2.058,-248.23,-250.31,12.93
3303572,1.199,-0.008,-0.693,128.83,-134.30,249.07
3303772,-0.033,-1.020,-0.015,43.47,-66.89,232.03
3303972,-0.102,-0.727,0.090,232.50,5.66,41.72
3304172,-0.659,0.279,1.068,246.26,100.22,-26.65
3304372,-0.307,-0.369,1.008,-17.88,-27.82,3.63
3304572,-0.090,-0.497,0.632,-28.88,-6.78,8.29
3304772,0.026,-0.551,0.557,-18.11,22.83,-18.50
3304972,-0.045,-0.403,0.052,-13.20,-0.78,-16.25
3305172,-0.200,0.398,-0.707,209.80,164.71,80.26
3305372,-0.682,1.550,0.245,252.04,-185.39,43.03
3305572,0.965,1.240,-2.094,-248.23,-250.31,107.60
3305772,1.290,-0.244,-0.654,128.28,-51.74,249.07
3305972,-0.042,-1.046,-0.067,152.06,-27.33,155.20
3306172,-0.463,-0.431,0.270,252.04,181.74,-5.28
3306372,-0.267,-0.368,1.302,63.34,38.33,75.55
3306572,-0.295,-0.353,0.683,-12.54,-23.37,17.11
3306772,-0.188,-0.252,0.182,47.04,-10.55,1.27
3306972,-0.130,0.197,0.244,172.38,-16.61,-25.11
3307172,-0.285,1.492,0.174,102.06,-250.31,-172.82
3307372,1.354,-0.572,-1.750,-105.65,-250.31,249.07
3307572,0.119,-0.355,-0.616,138.83,31.65,249.07
3307772,-0.071,-0.614,-0.192,163.47,-28.96,58.00
3307972,-0.409,0.229,0.310,252.04,66.73,-21.56
3308172,-0.280,-0.302,1.349,27.27,-25.06,-25.91
3308372,-0.105,-0.351,0.493,-22.98,-1.42,4.10
3308572,-0.347,-0.019,-0.311,146.54,233.51,20.05
3308772,-0.493,1.281,-0.186,252.04,-36.44,135.92
3308972,-0.318,1.334,-0.601,-46.49,-250.31,-161.64
3309172,1.600,0.295,-0.836,101.72,-210.81,249.07
3309372,0.035,-1.060,-0.279,69.41,-118.42,240.47
3309572,-0.317,-0.517,0.028,247.13,10.12,42.14
3309772,-1.307,0.216,1.349,113.70,-4.07,10.14
3309972,-0.162,-0.374,0.952,-17.43,-31.68,18.92
3310172,0.179,-0.567,0.259,-33.67,-48.71,29.72
3310372,0.101,-0.009,-0.367,149.88,137.16,61.39
3310572,-0.527,1.343,-0.255,252.04,-209.96,-15.23
3310772,-0.124,1.202,-1.971,-248.23,-250.31,62.05
3310972,1.281,-0.533,-1.093,249.83,-173.76,249.07
3311172,0.060,-0.806,0.016,117.57,45.54,130.74
3311372,-0.133,-0.379,0.382,252.04,64.20,-50.52
3311572,-0.697,-0.027,1.761,61.14,6.92,40.43
3311772,-0.374,-0.306,0.906,-16.42,14.11,12.56
3311972,0.041,-0.456,0.303,31.21,1.51,-35.20
3312172,0.311,0.202,-0.166,186.54,53.14,41.14
3312372,-0.665,1.423,-0.214,252.04,-250.31,36.62
3312572,1.678,0.005,-1.956,-248.23,-250.31,231.18
3312772,0.761,-0.152,-0.482,183.80,-83.86,249.07
3312972,0.230,-0.688,0.012,38.07,-143.24,82.42
3313172,-0.354,-1.327,-0.470,46.67,-52.13,129.43
3313372,-0.360,-0.106,0.178,252.04,76.44,-25.78
