timestamp_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
45773,-0.011,0.008,0.026,-0.40,0.59,1.85
45973,0.009,-0.016,-0.003,1.32,0.73,2.16
46173,-0.012,-0.000,-0.003,0.45,-3.08,1.32
46373,0.012,0.021,0.009,2.62,-3.56,-1.42
46573,-0.008,0.004,-0.013,7.70,8.90,2.30
46773,0.020,0.024,-0.020,3.25,1.91,-2.73
46973,-0.035,0.040,-0.010,-0.10,-1.84,-4.18
47173,-0.011,0.017,-0.019,-2.57,-1.40,-4.41
47373,-0.013,0.017,-0.000,-1.26,-2.08,-3.42
47573,-0.016,0.007,-0.005,-1.30,-0.59,-2.96
47773,-0.023,0.006,0.006,-3.86,-3.58,-2.93
47973,-0.013,0.000,0.011,-4.87,-3.83,-0.93
48173,-0.004,-0.013,0.001,-0.43,1.41,-1.62
48373,-0.009,-0.001,0.002,0.52,0.67,-0.98
48573,-0.015,0.019,-0.094,-4.08,6.12,2.20
48773,-0.027,-0.083,0.031,14.64,-16.26,-9.18
48973,-0.031,0.068,0.004,36.57,11.11,-23.54
49173,-0.038,0.162,-0.149,36.32,13.31,-15.02
49373,-0.161,0.187,-0.199,19.31,2.45,-11.29
49573,-0.101,0.121,-0.162,4.38,-61.70,-8.85
49773,-0.002,0.115,-0.174,1.09,2.85,-1.60
49973,-0.028,0.086,-0.124,2.48,-12.07,-3.24
50173,0.028,0.051,-0.123,-1.92,16.48,-1.49
50373,-0.025,0.051,-0.080,-2.50,1.79,2.97
50573,0.006,0.037,-0.099,-2.72,-8.19,0.38
50773,0.012,0.046,-0.062,4.57,-8.84,-4.39
50973,0.023,0.030,-0.056,4.08,-0.24,-5.63
51173,0.007,0.026,-0.039,0.60,2.53,3.56
51373,0.008,0.030,-0.043,-0.43,8.75,4.18
51573,0.004,0.019,-0.048,1.65,-2.42,0.76
51773,0.009,0.020,-0.038,1.98,-3.46,1.55
51973,0.002,0.017,-0.032,1.43,-1.50,0.95
52173,0.020,0.009,-0.037,2.03,-1.35,-2.69
52373,0.021,0.026,-0.035,1.28,-0.07,-2.00
52573,-0.005,-0.004,-0.035,0.81,1.38,-2.09
52773,0.020,0.015,-0.026,1.91,-0.45,-3.63
52973,0.001,-0.000,-0.031,10.16,17.48,5.30
53173,-0.003,0.018,-0.039,-6.01,-12.71,-8.73
53373,0.024,0.036,0.001,-5.45,-0.63,-1.93
53573,-0.025,0.008,0.029,-18.55,-11.04,0.04
53773,-0.028,-0.047,0.036,-14.23,11.99,4.76
53973,-0.073,-0.015,0.045,-13.91,-25.97,7.56
54173,-0.057,-0.029,0.102,-2.38,-11.23,-15.04
54373,0.039,-0.011,0.016,15.63,-12.20,-11.30
54573,0.029,-0.001,0.038,6.31,-1.08,-2.24
54773,0.010,0.008,-0.005,-8.40,0.08,8.89
54973,-0.005,-0.016,-0.010,-2.61,3.21,5.08
55173,0.001,-0.001,-0.008,0.09,-5.30,-6.18
55373,0.020,0.003,0.011,2.16,-8.33,-5.49
55573,0.007,0.003,0.015,2.31,3.10,1.08
55773,-0.004,0.003,-0.012,-2.91,2.90,5.92
55973,-0.005,-0.006,-0.004,-0.08,2.56,-3.79
56173,0.008,0.005,0.001,0.93,1.09,-2.98
56373,0.002,-0.007,-0.002,-1.64,-0.64,1.27
56573,0.000,-0.003,0.001,0.86,0.73,1.89
56773,0.002,0.004,0.004,0.39,1.13,2.20
56973,-0.004,0.001,-0.001,-0.30,1.75,0.66
57173,-0.004,-0.003,-0.005,-0.89,-1.91,-2.08
57373,0.006,0.000,-0.001,2.01,-3.39,-1.94
57573,0.002,0.007,0.008,1.73,-1.01,-0.81
57773,0.008,0.000,-0.005,-0.55,1.24,-0.17
57973,0.003,0.002,-0.007,0.02,0.74,1.73
58173,-0.006,0.004,-0.002,-0.03,-0.42,1.20
58373,0.005,-0.000,-0.005,0.23,-0.06,-2.21
58573,0.003,0.001,-0.002,-1.28,-1.60,-0.09
58773,-0.004,0.002,0.001,-0.35,2.38,1.91
58973,0.002,-0.003,-0.007,-0.29,0.19,-0.24
59173,-0.004,0.003,0.003,0.23,-1.16,-0.57
59373,-0.002,0.003,0.006,-0.41,0.54,-1.74
59573,0.002,-0.003,-0.004,-0.05,1.39,-0.35
59773,-0.005,-0.002,-0.000,0.80,0.48,0.81
59973,-0.006,0.000,-0.001,-0.05,-1.49,-0.16
60173,0.004,-0.001,0.001,0.01,-1.00,-0.36
60373,-0.003,0.003,-0.001,-0.62,-0.90,-0.14
60573,0.004,-0.001,0.003,-0.20,-0.11,-0.48
60773,0.001,0.001,-0.001,-0.14,0.34,0.57
60973,0.002,-0.002,-0.003,0.31,-0.24,-0.90
61173,0.003,0.001,-0.001,0.31,-0.12,-0.20
61373,0.001,-0.000,-0.001,-0.27,-0.11,-0.13
61573,0.003,0.000,-0.003,0.01,0.25,-0.17
61773,0.002,0.002,-0.001,0.37,-0.13,-0.56
61973,-0.000,-0.002,0.002,-0.45,-0.14,0.47
62173,-0.001,-0.004,0.001,-0.44,0.05,-0.30
62373,-0.003,-0.001,0.000,0.05,-0.29,-0.44
62573,-0.000,0.000,-0.001,-0.08,0.34,-0.48
62773,-0.003,0.001,-0.001,0.30,0.24,0.03
62973,-0.003,0.002,0.002,0.21,-0.08,-0.44
63173,0.000,-0.001,-0.002,0.41,-0.09,-0.27
63373,-0.002,-0.001,0.001,0.08,-0.13,-0.24
63573,-0.000,0.002,0.000,0.05,-0.13,0.18
63773,-0.001,0.004,-0.006,-0.26,0.59,0.21
63973,-0.007,-0.002,-0.002,0.53,0.60,-0.47
64173,-0.001,0.003,0.006,-0.72,0.74,-0.21
64373,-0.000,-0.001,-0.003,-0.58,0.08,0.47
64573,-0.002,0.000,0.002,0.64,-0.20,-0.79
64773,0.001,0.002,-0.004,0.43,-0.89,-0.95
64973,0.000,-0.002,0.004,0.34,0.45,0.18
65173,-0.003,-0.000,0.000,-0.56,0.22,0.05
65373,-0.001,-0.003,0.002,0.04,-0.83,-0.37
65573,-0.001,-0.002,0.000,0.25,-0.06,-0.53
65773,0.001,0.000,-0.001,0.05,-0.07,0.04
65973,0.001,-0.001,-0.002,-0.24,-0.08,0.02
66173,0.001,0.002,-0.001,0.00,-0.02,-0.55
66373,-0.002,0.002,0.001,-0.13,0.15,-0.57
66573,0.004,0.003,-0.003,-0.15,0.02,-0.31
66773,-0.000,0.000,-0.002,0.39,-0.01,-0.17
66973,0.001,0.001,0.001,0.60,-0.75,-1.15
67173,0.002,0.005,0.003,1.15,1.52,0.51
67373,-0.011,0.002,-0.004,-0.24,2.15,-0.11
67573,-0.005,0.003,-0.008,0.51,-0.29,-1.02
67773,-0.005,0.002,-0.003,0.34,-0.94,-0.77
67973,-0.012,-0.002,0.004,-0.59,1.82,-1.14
68173,0.001,0.004,-0.005,0.02,1.33,0.36
68373,-0.008,0.001,-0.001,0.17,0.87,-0.12
68573,-0.002,-0.001,-0.006,0.43,1.55,-1.40
68773,0.001,-0.001,-0.001,-0.12,-0.53,1.00
68973,-0.009,-0.000,-0.000,0.28,-1.41,0.26
69173,0.013,0.005,-0.008,1.13,-4.92,-1.73
69373,0.004,-0.000,-0.005,-1.07,-1.21,-0.07
69573,-0.003,0.002,-0.004,0.47,-4.00,-0.92
69773,0.015,-0.001,-0.006,1.93,-15.64,-3.15
69973,0.003,0.005,-0.014,1.54,-9.58,-2.86
70173,0.011,0.006,-0.026,0.92,0.90,0.31
70373,0.005,0.006,-0.018,0.57,2.39,0.60
70573,0.000,0.005,-0.014,-0.54,2.20,0.33
70773,0.002,0.002,-0.012,-0.55,0.06,0.22
70973,0.004,-0.000,-0.006,-0.47,0.62,-0.22
71173,0.001,-0.003,-0.006,0.06,0.82,0.18
71373,0.000,0.003,-0.001,-0.02,0.80,0.06
71573,-0.000,-0.000,-0.001,0.09,0.07,-0.00
71773,0.003,0.002,-0.003,0.19,0.08,-0.40
71973,0.003,0.000,-0.002,0.33,0.83,-0.34
72173,-0.002,-0.002,-0.000,0.25,1.58,-0.08
72373,-0.004,0.004,-0.003,-0.15,-0.57,0.53
72573,-0.006,0.003,-0.003,-1.37,-3.12,-1.61
72773,0.004,0.002,0.004,0.10,-0.71,-2.70
72973,0.001,-0.004,0.014,-1.11,2.62,-0.99
73173,-0.001,-0.005,0.003,-2.14,3.64,0.93
73373,-0.009,0.000,0.001,-0.46,2.96,2.40
73573,-0.006,-0.003,0.006,1.02,0.48,-0.15
73773,0.003,0.001,0.004,1.24,-2.03,-0.49
73973,-0.002,-0.000,0.006,0.57,-2.23,0.75
74173,-0.002,-0.003,-0.003,-0.02,-1.90,-1.37
74373,0.010,0.002,-0.006,1.18,-1.64,0.25
74573,-0.001,0.001,-0.003,-0.28,-2.83,0.86
74773,0.006,-0.002,-0.006,0.36,-1.76,0.07
74973,0.010,0.002,-0.006,0.99,1.00,-0.18
75173,0.002,-0.000,-0.004,0.34,1.36,0.08
75373,0.004,0.002,-0.002,0.38,1.54,-0.11
75573,0.003,0.000,-0.006,-0.76,1.09,0.08
75773,-0.007,0.002,0.001,-0.17,0.19,-0.89
75973,-0.025,0.013,0.011,-2.56,-1.88,-4.92
76173,-0.001,-0.007,-0.005,-2.15,-3.91,-6.96
76373,-0.011,-0.002,0.007,-0.42,-3.91,-1.76
76573,-0.001,0.000,0.007,0.27,-0.84,3.12
76773,-0.008,-0.007,0.002,0.31,-0.71,2.02
76973,0.002,0.002,0.007,1.72,1.82,1.34
77173,0.007,-0.004,0.001,0.57,1.26,1.69
77373,0.002,0.009,-0.004,0.02,0.17,1.23
77573,0.006,0.002,-0.007,0.00,-0.09,-0.02
77773,0.007,0.000,-0.008,1.02,-1.68,-0.60
77973,0.004,-0.001,-0.002,1.09,-1.17,-1.58
78173,0.010,0.002,0.002,0.64,2.42,-0.68
78373,0.013,-0.000,-0.004,1.54,8.50,2.02
78573,0.003,-0.001,-0.000,1.42,14.07,6.27
78773,0.003,-0.001,-0.002,1.92,17.74,7.80
78973,0.004,-0.007,0.002,4.99,22.46,3.99
79173,0.003,0.004,-0.009,0.89,17.62,7.77
79373,-0.022,-0.029,-0.019,5.44,11.44,9.72
79573,-0.007,0.032,0.022,13.80,35.59,1.01
79773,0.001,0.039,-0.032,-2.72,23.47,13.61
79973,-0.028,-0.024,-0.024,-12.21,-0.72,11.55
80173,-0.016,0.004,0.001,-4.03,-13.36,-14.92
80373,0.014,-0.038,0.017,-6.79,-15.16,-7.05
80573,0.026,-0.003,0.021,-2.83,-19.89,-3.70
80773,0.003,0.000,0.020,-1.54,-20.45,-3.04
80973,0.003,-0.006,0.021,0.07,-11.39,-4.95
81173,0.016,0.000,0.002,-1.28,-5.96,-3.81
81373,0.002,0.005,0.007,2.89,-0.24,-2.86
81573,-0.006,0.004,0.001,-3.30,-9.49,-1.40
81773,0.007,-0.007,-0.009,-0.96,-5.96,-2.86
81973,0.019,0.005,-0.003,-0.72,-6.61,-2.82
82173,0.006,-0.001,-0.004,-1.07,-4.69,2.43
82373,-0.001,0.001,-0.006,-0.27,-2.59,-0.88
82573,0.016,0.007,-0.005,0.67,-0.36,-1.27
82773,-0.001,-0.000,-0.005,-0.59,-0.78,2.18
82973,0.008,-0.003,-0.005,1.97,2.46,-0.01
83173,0.013,0.002,-0.006,0.23,3.87,0.89
83373,0.006,0.005,-0.013,2.99,4.21,5.61
83573,-0.002,-0.000,0.014,1.02,7.08,1.12
83773,0.013,-0.009,-0.011,-0.37,4.24,1.98
83973,0.008,-0.004,-0.015,4.92,10.38,2.68
84173,0.000,0.009,0.002,6.67,12.16,5.57
84373,-0.004,0.011,-0.008,3.09,16.23,1.65
84573,-0.004,-0.013,-0.033,8.12,20.00,-0.67
84773,0.014,0.013,-0.044,6.84,7.13,7.98
84973,-0.006,0.041,-0.016,3.96,14.85,1.66
85173,0.021,0.032,-0.036,1.44,15.29,-2.75
85373,0.006,0.017,-0.043,-4.64,2.55,-2.22
85573,-0.014,-0.018,0.001,-5.39,-7.94,-1.96
85773,0.027,-0.014,0.016,-5.27,-8.11,-0.92
85973,0.013,-0.011,-0.007,0.80,-10.78,6.92
86173,0.004,0.008,0.016,0.67,-8.29,-8.47
86373,0.010,-0.011,0.002,-3.99,-13.59,-6.07
86573,0.004,-0.018,-0.008,0.31,-14.77,-9.66
86773,0.011,-0.011,-0.019,7.73,-0.28,-8.92
86973,-0.006,0.005,0.009,-3.08,-27.83,3.18
87173,-0.029,-0.008,-0.015,-9.22,-5.28,-4.24
87373,-0.001,0.046,0.018,-1.34,-7.91,1.17
87573,0.012,-0.066,-0.001,-6.74,-2.26,6.61
87773,0.019,0.006,0.003,-5.15,-10.33,5.01
87973,0.011,-0.012,0.022,-0.82,-8.81,-7.53
88173,0.022,-0.013,0.006,3.47,-4.23,-10.89
88373,0.022,0.050,-0.002,-3.03,6.67,2.31
88573,-0.041,-0.027,0.013,-1.78,2.38,4.37
88773,-0.034,0.003,0.026,7.56,20.27,-0.78
88973,-0.016,-0.036,-0.002,-0.53,9.24,3.43
89173,0.011,0.032,-0.005,0.60,8.32,-2.42
89373,-0.024,-0.006,0.020,-2.59,3.96,7.60
89573,-0.001,0.007,-0.011,-0.75,5.42,7.52
89773,-0.019,0.002,0.015,1.05,1.22,-2.73
89973,0.019,0.007,0.007,2.55,-1.81,-1.64
90173,0.002,-0.033,0.002,-0.47,-0.17,-1.37
90373,-0.023,0.016,0.015,1.37,5.29,-2.53
90573,0.021,0.013,0.003,1.24,1.45,-2.26
90773,-0.028,0.001,-0.016,0.60,4.51,0.98
90973,0.004,0.018,-0.002,-0.57,2.28,3.06
91173,-0.018,-0.001,0.008,-1.58,-0.97,-1.28
91373,-0.031,-0.017,0.008,0.45,-3.91,-0.71
91573,0.010,0.006,-0.003,-1.90,-2.53,2.33
91773,0.021,-0.003,-0.001,0.49,-2.10,-2.02
91973,-0.004,0.004,0.011,-1.08,-2.67,-1.34
92173,0.011,-0.003,0.005,0.15,0.01,-0.50
92373,-0.001,0.001,-0.002,0.85,3.87,0.57
92573,-0.008,-0.000,-0.006,0.21,1.56,-0.25
92773,0.006,0.004,0.003,0.87,2.27,0.63
92973,-0.009,-0.007,-0.010,-0.11,2.72,3.40
93173,0.021,0.022,0.018,4.49,11.02,2.97
93373,-0.013,0.005,-0.019,-2.20,11.50,3.47
93573,-0.019,0.001,-0.005,-2.01,0.22,0.25
93773,0.007,-0.009,0.008,-2.61,-6.71,-0.73
93973,0.011,-0.017,0.018,-0.59,-9.76,-2.83
94173,0.027,-0.007,0.016,-0.63,2.73,1.07
94373,-0.014,0.004,0.003,0.13,5.97,0.48
94573,-0.013,0.003,-0.001,0.25,-5.20,-2.96
94773,-0.027,0.006,-0.006,-2.29,-8.79,-6.62
94973,-0.002,0.003,0.001,-4.76,-18.14,-5.55
95173,-0.002,-0.013,0.006,1.02,-13.17,-8.34
95373,0.015,-0.003,-0.011,3.77,-0.68,2.21
95573,-0.029,-0.019,-0.040,-7.59,7.07,10.88
95773,-0.003,0.019,-0.024,-1.13,3.78,4.30
95973,0.014,0.014,0.014,-2.39,6.39,1.37
96173,0.006,0.008,0.019,1.25,7.85,0.89
96373,-0.033,-0.002,-0.016,-0.48,-2.46,3.32
96573,0.013,0.001,-0.005,-1.97,-9.83,-2.45
96773,0.031,-0.006,0.012,-2.19,-5.40,1.62
96973,0.010,0.008,-0.002,1.16,3.65,0.08
97173,0.000,-0.001,-0.003,0.09,0.76,-0.40
97373,0.011,0.001,0.001,-0.05,-1.23,-1.96
97573,-0.010,0.003,-0.004,-2.05,-3.42,-0.86
97773,-0.001,-0.002,-0.002,-2.84,-12.04,-3.68
97973,0.025,-0.005,0.001,-0.55,-10.84,-2.58
98173,0.015,-0.003,-0.001,0.90,-3.50,-0.21
98373,0.006,0.002,-0.003,3.03,2.67,-1.17
98573,-0.002,0.004,-0.004,0.60,4.83,0.76
98773,-0.014,0.007,-0.008,0.15,6.22,-0.44
98973,-0.014,-0.001,-0.013,0.13,1.80,-1.31
99173,-0.010,-0.001,-0.004,0.07,-2.09,-0.00
99373,-0.000,0.001,-0.001,-0.50,-1.10,-0.06
99573,-0.011,0.005,-0.004,0.20,-1.07,0.08
99773,0.001,0.006,-0.002,0.02,-0.41,-0.27
99973,-0.012,0.003,-0.008,0.40,-0.48,-0.69
100173,0.010,-0.000,0.008,0.49,-4.64,-3.82
100373,0.001,0.002,-0.004,1.27,2.05,2.47
100573,-0.003,0.005,-0.011,0.80,2.28,0.98
100773,0.007,0.001,-0.003,-1.12,0.98,0.40
100973,0.004,-0.003,0.004,-1.97,1.15,0.70
101173,-0.000,-0.005,-0.003,-2.35,0.20,0.82
101373,-0.004,0.001,0.003,0.43,-2.38,0.17
101573,0.007,0.003,0.016,-1.24,-10.83,-0.44
101773,0.024,-0.005,0.006,-2.24,6.43,0.01
101973,0.006,-0.005,0.007,0.47,-4.47,-0.91
102173,0.012,-0.007,0.004,-0.30,2.40,1.61
