timestamp_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
3447372,0.013,-0.000,-0.004,0.05,0.47,-0.57
3447572,0.005,-0.002,-0.005,-0.64,0.47,-0.82
3447772,0.005,0.004,0.000,-0.85,-1.39,-0.29
3447972,-0.117,0.004,0.021,-25.20,-68.95,-2.33
3448172,-0.062,0.066,0.096,-33.01,-34.13,-1.60
3448372,1.235,0.197,0.285,-79.20,57.14,249.07
3448572,0.335,-0.852,-0.430,64.27,95.94,177.34
3448772,-0.420,0.091,0.280,93.30,53.03,-8.53
3448972,-0.391,-0.069,0.506,17.21,15.71,115.05
3449172,0.799,-0.787,0.674,-98.53,-160.12,-47.95
3449372,0.137,-1.420,0.342,-50.82,-10.89,-129.34
3449572,0.835,-0.848,0.131,14.64,-10.31,216.69
3449772,-0.921,1.121,0.137,111.89,51.59,-130.58
3449972,-0.491,0.370,0.038,-32.67,5.87,107.81
3450172,-0.245,-0.312,0.140,-104.40,-94.59,6.38
3450372,0.610,-0.821,0.120,-12.70,-51.91,-251.20
3450572,0.161,-0.987,0.084,-30.99,26.98,226.30
3450772,0.206,0.042,-0.112,127.48,126.06,26.38
3450972,-0.500,1.039,-0.151,36.30,-5.97,-17.63
3451172,-0.558,0.716,0.099,-82.55,20.35,127.25
3451372,0.687,-0.659,0.215,-62.79,-192.81,-234.20
3451572,-0.106,-1.527,0.175,15.29,-37.78,30.87
3451772,0.735,-0.367,-0.066,53.54,17.43,156.16
3451972,-0.875,0.719,-0.041,53.99,8.90,-92.99
3452172,-0.471,0.611,0.173,-16.85,51.78,55.82
3452372,-0.170,0.183,0.001,-99.88,-75.87,46.21
3452572,0.662,-0.765,-0.046,-27.37,29.55,-251.20
3452772,0.113,-0.712,-0.013,3.66,-75.55,131.98
3452972,0.621,0.040,0.029,57.67,115.90,96.01
3453172,-0.411,0.941,0.033,17.86,-70.68,-53.86
3453372,-0.572,1.079,0.013,-64.55,80.12,150.30
3453572,0.409,-0.864,0.009,-63.20,-54.66,-147.08
3453772,-0.304,-1.416,-0.171,-17.62,-40.73,-134.64
3453972,0.407,-0.225,0.465,71.51,19.32,150.39
3454172,-0.735,1.456,-0.108,132.27,134.76,-133.36
3454372,-0.128,0.562,-0.215,-70.55,38.22,160.92
3454572,-0.016,-0.458,-0.075,-47.13,-141.38,-67.60
3454772,0.296,-0.819,-0.018,-62.24,-93.48,-232.80
3454972,0.598,-0.738,0.166,11.79,38.69,219.63
3455172,0.482,0.764,-0.215,71.67,20.46,5.89
3455372,-0.916,0.561,-0.135,15.47,57.25,63.91
3455572,-0.303,0.270,0.049,-107.20,-44.94,108.66
3455772,0.612,-0.827,-0.014,-39.57,-104.88,-242.37
3455972,0.074,-0.782,0.159,39.53,49.88,166.50
3456172,0.070,0.363,0.076,60.77,151.00,-44.04
3456372,-0.830,1.060,-0.232,42.47,67.80,22.56
3456572,-0.501,-0.014,0.157,-100.75,9.71,161.18
3456772,0.615,-0.364,0.115,-25.04,-72.94,-251.20
3456972,-0.306,-1.104,-0.069,-52.86,-77.74,-110.01
3457172,0.914,0.085,0.148,64.43,9.92,90.50
3457372,-0.377,1.117,-0.113,-77.07,-33.93,-39.10
3457572,-0.520,0.782,0.028,-56.69,47.37,209.11
3457772,-0.380,-0.134,-0.006,-38.55,-52.94,71.67
3457972,0.799,-0.974,-0.075,-85.89,-66.99,-251.20
3458172,0.382,-0.735,-0.058,44.50,9.88,197.31
3458372,-0.216,0.338,-0.125,105.73,134.17,-32.10
3458572,-0.369,1.110,-0.064,83.25,-15.48,-85.91
3458772,-0.138,0.703,0.017,-89.56,36.39,136.95
3458972,0.085,-0.622,0.119,-43.42,-92.10,-44.97
3459172,-0.060,-0.833,0.207,-31.98,-42.33,-124.11
3459372,0.615,-0.543,0.010,2.41,-57.42,134.68
3459572,-0.316,0.663,-0.034,115.13,89.96,-76.60
3459772,-0.454,0.605,0.006,25.38,77.22,74.07
3459972,-0.108,0.257,0.010,-113.49,34.10,96.63
3460172,0.338,-0.937,-0.018,-43.19,-94.20,-142.79
3460372,-0.117,-0.746,-0.018,-12.07,-1.25,33.86
3460572,0.440,-0.346,-0.107,64.51,120.99,52.27
3460772,-0.774,1.329,0.116,116.02,-35.75,-138.92
3460972,-0.284,0.630,0.004,-38.61,12.95,78.41
3461172,-0.111,0.227,-0.031,-79.35,-51.36,91.31
3461372,0.533,-1.154,-0.207,-74.61,-155.50,-197.63
3461572,0.002,-0.706,0.065,28.19,38.22,102.63
3461772,0.248,0.048,-0.115,61.14,133.67,-25.28
3461972,-0.366,1.029,-0.049,60.19,-58.79,-93.86
3462172,-0.293,0.678,0.164,-57.75,23.97,88.69
3462372,0.058,-0.169,0.143,-84.19,-75.33,30.47
3462572,0.164,-1.009,-0.217,-31.53,38.07,-251.20
3462772,0.376,-0.558,0.029,73.55,-24.96,207.28
3462972,0.501,0.072,0.142,35.52,44.60,47.27
3463172,-0.825,1.669,-0.062,123.54,25.47,-156.92
3463372,0.000,0.774,-0.153,-51.34,51.25,182.57
3463572,0.353,-0.498,0.227,-31.55,-100.26,-70.66
3463772,-0.153,-1.123,-0.092,-72.21,19.16,-135.78
3463972,0.460,-0.537,0.211,39.40,30.60,141.54
3464172,-0.192,0.502,0.076,100.92,102.53,-87.24
3464372,-0.248,0.564,-0.025,-2.34,25.72,61.33
3464572,-0.139,0.310,0.041,-105.95,-17.59,131.23
3464772,0.565,-0.963,-0.326,-103.61,-98.06,-216.24
3464972,-0.049,-0.741,-0.306,44.94,11.03,109.25
3465172,0.421,-0.137,-0.135,86.88,53.38,55.04
3465372,-0.714,0.919,-0.047,72.67,-65.37,-153.62
3465572,-0.397,1.030,0.112,-82.31,42.36,171.65
3465772,0.085,-0.460,0.396,-57.24,-140.65,-39.59
3465972,0.268,-0.960,-0.297,-108.76,39.51,-232.08
3466172,0.778,-0.928,-0.068,39.22,-10.67,195.73
3466372,-0.021,0.475,-0.055,88.51,39.73,-57.48
3466572,-0.485,0.924,0.053,26.92,47.94,-12.67
3466772,-0.106,0.427,0.031,-98.04,10.35,129.89
3466972,0.742,-0.724,0.049,-63.67,-169.32,-250.43
3467172,-0.364,-0.744,-0.087,20.44,-36.53,101.70
3467372,0.738,-0.097,0.107,55.73,79.31,91.40
3467572,-0.944,1.352,-0.027,71.64,-115.86,-103.91
3467772,-0.313,0.934,-0.062,-89.51,54.67,156.26
3467972,0.133,-0.380,0.211,-44.71,-75.71,-23.44
3468172,0.170,-1.122,-0.070,-58.05,1.49,-193.17
3468372,0.384,-0.635,0.157,40.78,-25.31,174.38
3468572,-0.246,1.199,0.104,190.40,150.17,-140.64
3468772,-0.629,0.709,-0.011,-33.55,75.71,108.14
3468972,-0.172,-0.172,0.008,-47.86,-60.64,94.24
3469172,0.377,-1.299,-0.337,-73.46,-51.72,-251.20
3469372,-0.063,-0.538,0.015,42.32,43.12,185.54
3469572,0.242,0.083,0.043,46.37,72.13,-63.69
3469772,-0.547,1.134,0.070,38.06,33.47,-26.70
3469972,-0.292,1.006,-0.010,-60.51,-37.85,191.37
3470172,0.334,-0.793,0.245,-60.21,-104.39,-159.95
3470372,-0.300,-0.862,-0.004,-45.11,-37.91,-31.95
3470572,0.918,-0.693,0.084,38.67,6.45,149.87
3470772,-0.325,0.873,0.013,143.78,82.70,-155.76
3470972,-0.431,0.881,0.084,-35.85,-6.48,75.64
3471172,0.089,0.021,0.001,-101.04,-57.22,116.36
3471372,0.078,-1.168,-0.061,-74.10,39.51,-223.44
3471572,0.252,-0.831,-0.089,17.34,-62.26,120.55
3471772,0.463,-0.215,-0.058,67.05,134.29,74.32
3471972,-0.395,1.033,0.075,123.72,-26.12,-127.36
3472172,-0.256,0.839,0.082,-33.00,77.22,83.45
3472372,0.022,-0.031,0.085,-105.42,-61.57,76.68
3472572,0.246,-0.761,-0.123,-66.95,-0.14,-214.06
3472772,-0.012,-0.739,-0.217,62.15,-41.96,146.26
3472972,0.429,0.069,0.061,76.29,143.69,19.19
3473172,-0.289,1.452,-0.098,74.76,9.87,-124.50
3473372,-0.201,0.815,0.063,-69.72,14.94,153.93
3473572,0.311,-0.977,-0.126,-47.25,-4.49,-82.62
3473772,-0.039,-0.665,-0.118,-36.14,-33.62,-178.26
3473972,0.335,-0.762,0.001,55.31,18.67,163.66
3474172,-0.193,0.272,-0.135,97.51,133.39,-48.37
3474372,-0.461,0.931,0.132,55.00,42.00,-20.88
3474572,-0.347,0.509,0.241,-112.85,-21.25,100.16
3474772,0.036,-0.673,0.173,-87.91,-0.22,-165.73
3474972,-0.489,-0.806,-0.309,4.22,22.45,-77.34
3475172,0.934,-0.418,0.075,68.15,-25.75,184.71
3475372,-0.494,1.089,0.040,133.91,58.91,-175.65
3475572,-0.340,1.027,0.149,-36.14,12.90,91.69
3475772,0.087,-0.136,0.022,-91.49,-62.62,71.66
3475972,0.635,-1.134,-0.233,-106.17,24.96,-212.99
3476172,0.115,-0.899,-0.338,60.82,-30.53,192.32
3476372,0.061,-0.042,-0.016,109.73,129.53,-3.82
3476572,-0.011,0.895,0.181,-23.93,-101.15,-20.80
3476772,-0.049,1.016,-0.059,-99.25,-69.52,195.45
3476972,1.150,-0.639,-0.254,-98.67,-212.81,-138.78
3477172,-0.728,-1.014,-0.084,-35.45,103.57,-70.52
3477372,0.423,-0.392,0.446,47.69,17.74,151.46
3477572,-0.095,1.383,0.132,207.17,207.56,-167.80
3477772,-0.828,0.874,-0.068,-46.12,49.10,85.16
3477972,-0.028,0.045,-0.121,-50.08,-54.88,96.36
3478172,1.135,-0.890,0.326,-95.98,47.12,-234.34
3478372,-0.448,-0.602,-0.114,-8.05,-23.65,95.74
3478572,0.389,0.109,0.251,54.06,49.19,59.82
3478772,-0.616,1.575,-0.142,138.91,35.95,-132.03
3478972,-0.684,0.911,0.067,-94.78,-2.46,149.02
3479172,0.457,-0.601,0.103,-35.20,-61.31,-134.93
3479372,-0.347,-1.111,-0.186,-32.83,10.85,14.98
3479572,0.374,-0.832,0.240,18.68,-34.96,149.43
3479772,-0.910,1.665,-0.088,195.94,-40.26,-188.21
3479972,-0.250,0.613,0.158,-26.56,84.81,67.85
3480172,-0.093,-0.112,0.092,-72.41,-123.10,123.50
3480372,0.380,-1.078,-0.304,-45.95,-3.36,-251.20
3480572,0.288,-0.690,-0.145,12.56,29.09,171.47
3480772,0.347,0.263,0.064,54.55,62.99,-22.41
3480972,-0.192,0.789,0.017,85.55,-29.78,-79.57
3481172,0.035,0.921,0.099,-106.51,45.04,211.50
3481372,0.028,-0.754,-0.113,-58.84,-71.75,-9.49
3481572,-0.761,-1.146,0.008,-87.29,133.24,-243.46
3481772,0.497,-0.627,-0.009,40.99,-36.37,149.07
3481972,0.148,0.195,0.025,143.68,143.36,-61.81
3482172,-0.328,0.652,0.012,8.37,42.69,28.34
3482372,0.046,0.536,-0.031,-99.58,-62.75,139.50
3482572,1.277,-0.779,-0.062,-82.65,-27.28,-207.24
3482772,-0.307,-0.824,-0.083,0.40,-46.39,73.15
3482972,0.886,-0.285,-0.083,39.81,-20.27,128.98
3483172,-1.043,1.589,-0.033,167.51,72.25,-201.44
3483372,-0.327,1.002,0.058,-44.73,-17.17,181.19
3483572,0.162,-0.575,0.356,-30.56,22.44,-12.97
