timestamp_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
3527842,0.001,0.000,0.001,-0.30,0.20,-0.28
3528042,0.001,0.000,-0.003,-0.11,0.11,-0.18
3528242,-0.000,0.002,0.000,-0.29,0.11,-0.25
3528442,0.001,0.001,0.000,-0.37,0.16,-0.30
3528642,0.001,-0.001,0.002,-0.40,0.20,-0.33
3528842,0.002,0.000,0.001,-0.17,0.00,-0.26
3529042,0.001,0.003,-0.003,-0.20,0.29,-0.29
3529242,0.001,0.001,-0.002,-0.28,0.00,-0.22
3529442,-0.000,0.000,0.002,-0.38,0.14,-0.30
3529642,0.000,-0.001,0.001,-0.17,0.12,-0.31
3529842,0.000,0.001,0.000,-0.27,0.06,-0.23
3530042,0.001,0.002,-0.001,-0.32,0.10,-0.21
3530242,-0.000,-0.001,-0.000,-0.33,0.09,-0.28
3530442,-0.002,-0.002,0.003,-0.17,0.06,-0.30
3530642,-0.001,0.001,-0.000,-0.15,0.19,-0.23
3530842,0.001,0.003,-0.004,-0.27,-0.06,-0.23
3531042,-0.002,-0.001,0.002,-0.37,0.06,-0.28
3531242,0.001,-0.000,0.002,-0.31,0.08,-0.23
3531442,-0.001,-0.001,-0.000,-0.19,0.09,-0.24
3531642,0.000,0.001,-0.001,-0.15,0.00,-0.31
3531842,-0.000,0.000,-0.000,-0.33,-0.04,-0.23
3532042,-0.000,-0.001,0.002,-0.30,0.09,-0.24
3532242,0.000,-0.001,-0.001,-0.10,0.00,-0.21
3532442,-0.000,0.002,-0.002,-0.10,-0.17,-0.15
3532642,-0.001,0.000,-0.002,-0.27,0.03,-0.31
3532842,0.002,-0.001,0.001,-0.23,0.04,-0.25
3533042,-0.001,-0.000,-0.001,-0.11,0.12,-0.31
3533242,-0.001,-0.001,0.000,-0.18,-0.01,-0.27
3533442,0.003,0.001,-0.001,-0.23,0.00,-0.30
3533642,-0.001,-0.000,0.000,-0.21,0.05,-0.24
3533842,-0.001,-0.001,0.001,-0.11,0.08,-0.20
3534042,0.001,0.001,-0.002,-0.08,0.01,-0.17
3534242,0.001,0.000,0.000,-0.11,-0.01,-0.23
3534442,-0.001,-0.002,0.003,-0.23,-0.06,-0.29
3534642,-0.000,-0.003,0.001,-0.08,0.06,-0.26
3534842,-0.000,0.001,-0.002,-0.01,-0.01,-0.25
3535042,-0.002,-0.001,-0.001,-0.14,0.09,-0.23
3535242,0.001,-0.000,0.002,-0.26,0.02,-0.27
3535442,-0.000,-0.002,-0.000,-0.18,0.04,-0.21
3535642,-0.000,-0.001,0.002,-0.10,-0.04,-0.27
3535842,-0.001,-0.001,-0.000,-0.14,-0.06,-0.21
3536042,0.001,0.000,-0.002,-0.17,0.03,-0.18
3536242,-0.001,0.001,-0.000,-0.31,0.12,-0.25
3536442,-0.001,0.001,-0.001,-0.25,0.03,-0.24
3536642,-0.001,0.001,-0.001,-0.28,0.08,-0.20
3536842,0.001,0.002,0.000,-0.31,-0.00,-0.25
3537042,0.001,0.000,-0.002,-0.38,0.12,-0.27
3537242,-0.000,-0.001,0.002,-0.17,-0.00,-0.25
3537442,0.001,0.000,-0.000,-0.21,0.16,-0.26
3537642,-0.002,0.000,0.000,-0.18,0.03,-0.27
3537842,-0.001,-0.002,0.000,-0.27,0.12,-0.25
3538042,-0.000,-0.000,0.001,-0.31,0.09,-0.26
3538242,-0.002,-0.001,0.000,-0.33,0.12,-0.26
3538442,0.001,0.001,0.001,-0.22,0.03,-0.23
3538642,0.002,0.002,0.001,-0.35,0.17,-0.24
3538842,0.000,0.001,0.000,-0.39,0.27,-0.32
3539042,-0.001,-0.000,0.002,-0.27,0.16,-0.25
3539242,0.001,0.002,-0.002,-0.08,0.09,-0.31
3539442,-0.000,-0.000,-0.001,-0.30,0.11,-0.26
3539642,0.000,-0.001,-0.000,-0.25,0.07,-0.34
3539842,-0.000,-0.002,0.000,-0.36,0.17,-0.33
3540042,-0.001,-0.001,-0.000,-0.16,0.16,-0.24
3540242,-0.001,0.000,-0.001,-0.20,0.19,-0.28
3540442,0.002,0.001,-0.000,-0.32,0.09,-0.24
3540642,0.000,-0.001,0.003,-0.37,0.16,-0.25
3540842,0.000,0.002,0.001,-0.22,0.29,-0.27
3541042,0.000,-0.000,-0.000,-0.19,0.15,-0.27
3541242,0.000,0.001,-0.002,-0.24,0.00,-0.24
3541442,-0.000,0.000,0.001,-0.38,0.02,-0.19
3541642,0.001,-0.002,-0.000,-0.16,0.12,-0.31
3541842,-0.002,0.001,-0.001,-0.14,0.03,-0.28
3542042,-0.001,0.003,-0.002,-0.34,0.20,-0.30
3542242,0.002,0.000,-0.000,-0.35,0.09,-0.24
3542442,0.001,-0.003,0.002,-0.30,0.16,-0.31
3542642,0.001,0.001,0.000,-0.24,0.20,-0.25
3542842,0.001,0.003,-0.001,-0.29,0.12,-0.26
3543042,0.000,0.002,0.001,-0.48,0.17,-0.27
3543242,0.002,-0.000,0.001,-0.29,0.05,-0.26
3543442,-0.000,-0.001,0.000,-0.12,0.00,-0.32
3543642,0.000,0.002,-0.002,-0.08,-0.06,-0.19
3543842,0.001,0.001,-0.002,-0.24,-0.11,-0.26
3544042,-0.001,-0.002,0.003,-0.32,0.07,-0.18
3544242,-0.001,-0.000,0.000,-0.14,0.09,-0.24
3544442,0.000,0.000,0.000,-0.17,-0.00,-0.28
3544642,0.001,0.002,0.000,-0.13,-0.00,-0.21
3544842,0.002,0.002,0.001,-0.22,-0.18,-0.25
3545042,-0.001,-0.003,0.002,-0.28,0.13,-0.31
3545242,0.001,-0.001,-0.000,-0.11,0.06,-0.21
3545442,-0.002,0.000,-0.002,-0.12,-0.06,-0.25
3545642,0.001,-0.000,-0.000,-0.29,-0.04,-0.29
3545842,-0.001,-0.001,0.002,-0.17,0.02,-0.23
3546042,-0.001,0.000,-0.000,-0.15,0.08,-0.24
3546242,-0.000,0.001,-0.001,-0.09,-0.04,-0.27
3546442,-0.000,0.002,0.000,-0.19,0.05,-0.30
3546642,0.001,-0.002,0.000,-0.22,-0.10,-0.29
3546842,-0.001,-0.002,0.001,-0.18,0.06,-0.27
3547042,-0.002,-0.002,-0.001,-0.03,-0.01,-0.28
3547242,0.001,0.002,-0.002,-0.17,0.04,-0.18
3547442,-0.002,-0.001,-0.001,-0.24,0.07,-0.26
3547642,-0.001,-0.001,0.001,-0.29,0.15,-0.24
3547842,0.002,0.001,-0.001,-0.04,-0.27,-0.22
3548042,-0.000,-0.000,0.001,-0.30,0.10,-0.23
3548242,0.001,0.000,0.000,-0.20,0.04,-0.11
3548442,0.001,-0.000,0.004,-0.31,0.07,-0.25
3548642,-0.001,-0.001,-0.000,-0.09,0.00,-0.25
3548842,-0.000,0.000,0.001,-0.11,-0.03,-0.26
3549042,0.003,0.002,-0.002,-0.27,-0.05,-0.19
3549242,0.001,-0.001,0.000,-0.28,0.10,-0.21
3549442,-0.001,0.001,0.001,-0.29,0.14,-0.24
3549642,-0.002,0.000,0.002,-0.30,0.15,-0.28
3549842,-0.001,0.002,-0.000,-0.24,-0.08,-0.26
3550042,-0.000,-0.001,0.001,-0.23,0.06,-0.31
3550242,0.001,-0.000,0.001,-0.30,0.13,-0.28
3550442,-0.002,0.000,0.001,-0.18,0.02,-0.31
3550642,0.001,0.000,-0.001,-0.18,0.10,-0.30
3550842,0.002,0.000,-0.001,-0.25,0.01,-0.24
3551042,-0.001,-0.000,0.001,-0.31,0.09,-0.26
3551242,-0.001,-0.003,0.000,-0.24,0.14,-0.24
3551442,-0.000,0.001,-0.001,-0.18,0.17,-0.23
3551642,-0.000,0.001,-0.002,-0.14,-0.02,-0.24
3551842,-0.000,0.001,-0.001,-0.31,0.01,-0.25
3552042,-0.002,-0.003,-0.001,-0.20,0.03,-0.25
3552242,0.000,-0.001,-0.001,-0.20,0.15,-0.22
3552442,0.000,0.001,0.000,-0.30,0.12,-0.27
3552642,-0.001,-0.002,0.001,-0.39,0.19,-0.32
3552842,0.000,-0.001,0.003,-0.35,0.17,-0.27
3553042,-0.002,-0.001,-0.001,-0.19,0.16,-0.31
3553242,0.000,0.001,-0.001,-0.25,0.23,-0.27
3553442,0.001,0.001,0.001,-0.37,0.16,-0.25
3553642,0.001,-0.001,0.000,-0.40,0.27,-0.29
3553842,0.002,-0.001,-0.000,-0.26,0.19,-0.22
3554042,-0.000,0.000,-0.000,-0.25,0.19,-0.26
3554242,0.001,0.002,-0.002,-0.33,0.22,-0.23
3554442,0.001,0.000,0.001,-0.42,0.18,-0.28
3554642,0.001,-0.001,0.001,-0.32,0.18,-0.19
3554842,-0.000,0.001,-0.001,-0.16,0.09,-0.24
3555042,0.002,0.003,-0.000,-0.23,0.11,-0.29
3555242,0.001,0.000,0.002,-0.33,0.13,-0.31
3555442,-0.000,0.001,0.001,-0.26,0.07,-0.24
3555642,-0.002,-0.002,0.000,-0.10,0.08,-0.28
3555842,0.001,0.002,-0.001,-0.12,0.13,-0.31
3556042,-0.000,-0.002,0.001,-0.31,-0.04,-0.25
3556242,-0.000,-0.001,0.000,-0.33,0.08,-0.27
3556442,-0.000,-0.002,-0.001,-0.18,0.01,-0.23
3556642,-0.000,0.001,0.000,-0.19,0.15,-0.25
3556842,0.000,0.002,-0.001,-0.22,0.02,-0.28
3557042,0.001,0.001,-0.000,-0.38,0.12,-0.27
3557242,-0.001,-0.001,0.001,-0.31,0.06,-0.27
3557442,-0.002,-0.001,-0.002,-0.14,0.14,-0.27
3557642,0.001,0.003,-0.001,-0.21,0.10,-0.24
3557842,-0.000,-0.002,0.001,-0.33,0.00,-0.29
3558042,-0.001,-0.002,0.003,-0.35,0.08,-0.26
3558242,0.000,-0.001,0.000,-0.28,0.13,-0.28
3558442,-0.001,0.001,-0.002,-0.21,0.13,-0.21
3558642,0.001,0.001,-0.001,-0.34,0.06,-0.29
3558842,0.000,0.002,-0.002,-0.40,0.15,-0.24
3559042,-0.000,-0.001,0.000,-0.29,0.13,-0.24
3559242,0.002,0.003,0.001,-0.20,0.07,-0.27
3559442,-0.001,0.000,-0.001,-0.19,0.06,-0.24
3559642,-0.000,0.001,0.002,-0.30,0.10,-0.22
3559842,-0.000,-0.002,-0.001,-0.24,0.07,-0.21
3560042,-0.000,0.000,0.001,-0.20,0.07,-0.26
3560242,-0.000,0.002,-0.002,-0.19,0.03,-0.26
3560442,0.000,0.001,0.000,-0.22,0.03,-0.29
3560642,-0.001,-0.001,0.001,-0.24,0.00,-0.27
3560842,-0.000,-0.001,0.001,-0.17,0.00,-0.21
3561042,0.000,-0.000,-0.001,-0.09,-0.02,-0.18
3561242,-0.001,-0.000,-0.001,-0.06,0.06,-0.15
3561442,-0.001,-0.001,-0.000,-0.11,-0.07,-0.25
3561642,0.003,-0.001,0.002,-0.11,0.06,-0.28
3561842,-0.001,-0.000,-0.002,0.09,-0.00,-0.18
3562042,-0.001,-0.000,-0.002,-0.11,0.06,-0.18
3562242,-0.001,-0.000,0.002,-0.27,0.09,-0.24
3562442,-0.000,-0.005,0.003,-0.14,0.04,-0.21
3562642,-0.001,0.000,-0.000,-0.11,0.09,-0.28
3562842,0.001,-0.000,-0.002,-0.12,0.12,-0.27
3563042,-0.003,0.001,-0.003,-0.19,0.01,-0.29
3563242,0.000,-0.001,-0.001,-0.29,0.12,-0.28
3563442,0.000,-0.001,0.001,-0.24,0.09,-0.22
3563642,-0.003,-0.002,0.001,-0.17,0.12,-0.24
3563842,0.001,0.001,0.001,-0.09,-0.19,-0.20
3564042,-0.000,-0.001,0.003,-0.40,0.12,-0.28
3564242,0.002,-0.001,-0.000,-0.25,0.06,-0.23
3564442,0.000,0.000,0.002,-0.25,0.29,-0.28
3564642,-0.002,0.000,-0.000,-0.27,0.12,-0.25
3564842,0.002,0.002,0.000,-0.35,-0.04,-0.31
3565042,-0.000,-0.001,0.004,-0.29,0.19,-0.28
3565242,-0.002,-0.000,-0.001,-0.21,0.22,-0.18
3565442,-0.000,0.002,-0.005,-0.15,0.07,-0.28
3565642,0.001,0.002,-0.001,-0.32,0.14,-0.23
3565842,0.003,0.001,0.001,-0.32,0.00,-0.22
3566042,0.002,0.002,0.002,-0.22,0.15,-0.22
3566242,0.000,-0.000,-0.003,-0.15,0.12,-0.19
3566442,0.001,0.002,0.001,-0.35,0.00,-0.31
3566642,0.000,-0.002,-0.002,-0.14,-0.14,-0.29
3566842,0.001,0.001,-0.000,-0.23,0.07,-0.21
3567042,-0.002,-0.001,0.000,-0.21,0.09,-0.30
3567242,-0.001,-0.000,-0.001,-0.21,0.12,-0.34
3567442,0.001,0.001,0.001,-0.29,0.05,-0.31
3567642,0.000,-0.000,0.004,-0.22,0.03,-0.27
3567842,0.000,0.000,-0.001,-0.20,0.16,-0.19
3568042,-0.001,0.000,-0.001,-0.21,0.06,-0.28
3568242,0.001,0.001,-0.001,-0.18,-0.03,-0.27
3568442,-0.000,-0.001,0.001,-0.21,0.05,-0.29
3568642,-0.001,0.000,-0.002,-0.15,0.12,-0.29
3568842,-0.001,0.000,0.001,-0.25,0.15,-0.28
3569042,0.001,0.001,0.001,-0.28,0.04,-0.24
3569242,0.001,-0.001,0.001,-0.42,0.37,-0.28
3569442,0.003,0.000,-0.000,-0.15,0.09,-0.23
3569642,-0.001,0.001,-0.002,-0.11,0.05,-0.21
3569842,-0.002,0.000,-0.000,-0.20,0.03,-0.28
3570042,-0.001,0.001,0.000,-0.28,-0.01,-0.24
3570242,-0.000,-0.002,-0.000,-0.24,0.12,-0.30
3570442,-0.001,-0.000,-0.003,-0.14,0.02,-0.21
3570642,0.000,0.000,-0.000,-0.11,0.07,-0.21
